country,country_name,year,variable,pollutant,pollutant_name,emissions to,environmental theme,damage,scenario,method,unit,value,reference
AL,Albania,2012,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,2910.0,"EEA, 2023"
AL,Albania,2013,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,2830.0,"EEA, 2023"
AL,Albania,2014,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,2650.0,"EEA, 2023"
AL,Albania,2015,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,3240.0,"EEA, 2023"
AL,Albania,2016,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,2950.0,"EEA, 2023"
AL,Albania,2017,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,3190.0,"EEA, 2023"
AL,Albania,2018,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,3420.0,"EEA, 2023"
AL,Albania,2019,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,3140.0,"EEA, 2023"
AL,Albania,2020,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,3130.0,"EEA, 2023"
AL,Albania,2021,env-price,"1,3 Butadiene","1,3 Butadiene",air,Human toxicity,Health,Central,NA,€2021/t,3390.0,"EEA, 2023"
AL,Albania,2012,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,620.0,"EEA, 2023"
AL,Albania,2013,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,610.0,"EEA, 2023"
AL,Albania,2014,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,570.0,"EEA, 2023"
AL,Albania,2015,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,690.0,"EEA, 2023"
AL,Albania,2016,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,630.0,"EEA, 2023"
AL,Albania,2017,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,680.0,"EEA, 2023"
AL,Albania,2018,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,730.0,"EEA, 2023"
AL,Albania,2019,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,670.0,"EEA, 2023"
AL,Albania,2020,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,670.0,"EEA, 2023"
AL,Albania,2021,env-price,Benzene,Benzene,air,Human toxicity,Health,Central,NA,€2021/t,730.0,"EEA, 2023"
AL,Albania,2012,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1006000.0,"EEA, 2023"
AL,Albania,2013,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,981000.0,"EEA, 2023"
AL,Albania,2014,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,919000.0,"EEA, 2023"
AL,Albania,2015,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1120000.0,"EEA, 2023"
AL,Albania,2016,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1021000.0,"EEA, 2023"
AL,Albania,2017,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1103000.0,"EEA, 2023"
AL,Albania,2018,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1184000.0,"EEA, 2023"
AL,Albania,2019,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1088000.0,"EEA, 2023"
AL,Albania,2020,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1083000.0,"EEA, 2023"
AL,Albania,2021,env-price,Benzo(a)pyrene,Benzo(a)pyrene,air,Human toxicity,Health,Central,NA,€2021/t,1174000.0,"EEA, 2023"
AL,Albania,2012,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,482000.0,"EEA, 2023"
AL,Albania,2013,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,470000.0,"EEA, 2023"
AL,Albania,2014,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,440000.0,"EEA, 2023"
AL,Albania,2015,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,536000.0,"EEA, 2023"
AL,Albania,2016,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,489000.0,"EEA, 2023"
AL,Albania,2017,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,528000.0,"EEA, 2023"
AL,Albania,2018,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,567000.0,"EEA, 2023"
AL,Albania,2019,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,521000.0,"EEA, 2023"
AL,Albania,2020,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,519000.0,"EEA, 2023"
AL,Albania,2021,env-price,Cr-VI,Chromium VI,air,Human toxicity,Health,Central,NA,€2021/t,562000.0,"EEA, 2023"
AL,Albania,2012,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,210.0,"EEA, 2023"
AL,Albania,2013,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,200.0,"EEA, 2023"
AL,Albania,2014,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,190.0,"EEA, 2023"
AL,Albania,2015,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,230.0,"EEA, 2023"
AL,Albania,2016,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,210.0,"EEA, 2023"
AL,Albania,2017,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,230.0,"EEA, 2023"
AL,Albania,2018,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,250.0,"EEA, 2023"
AL,Albania,2019,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,230.0,"EEA, 2023"
AL,Albania,2020,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,300.0,"EEA, 2023"
AL,Albania,2021,env-price,Formaldehyde,Formaldehyde,air,Human toxicity,Health,Central,NA,€2021/t,240.0,"EEA, 2023"
AL,Albania,2012,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12304.0,"EEA, 2023"
AL,Albania,2012,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,25379.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12287.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,25435.0,"EEA, 2023"
AL,Albania,2014,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12397.0,"EEA, 2023"
AL,Albania,2014,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,25184.0,"EEA, 2023"
AL,Albania,2015,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12569.0,"EEA, 2023"
AL,Albania,2015,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,26897.0,"EEA, 2023"
AL,Albania,2016,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12739.0,"EEA, 2023"
AL,Albania,2016,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,27284.0,"EEA, 2023"
AL,Albania,2017,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12947.0,"EEA, 2023"
AL,Albania,2017,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,28290.0,"EEA, 2023"
AL,Albania,2018,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,13065.0,"EEA, 2023"
AL,Albania,2018,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,32012.0,"EEA, 2023"
AL,Albania,2019,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,12729.0,"EEA, 2023"
AL,Albania,2019,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,31299.0,"EEA, 2023"
AL,Albania,2020,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,13473.0,"EEA, 2023"
AL,Albania,2020,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,34379.0,"EEA, 2023"
AL,Albania,2021,env-price,NH3,Ammonia,air,All,All,Central,VOLY,€2021/t,13929.0,"EEA, 2023"
AL,Albania,2021,env-price,NH3,Ammonia,air,All,All,Central,VSL,€2021/t,38770.0,"EEA, 2023"
AL,Albania,2012,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12118.0,"EEA, 2023"
AL,Albania,2012,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,25193.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12101.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,25249.0,"EEA, 2023"
AL,Albania,2014,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12211.0,"EEA, 2023"
AL,Albania,2014,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,24998.0,"EEA, 2023"
AL,Albania,2015,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12383.0,"EEA, 2023"
AL,Albania,2015,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,26711.0,"EEA, 2023"
AL,Albania,2016,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12553.0,"EEA, 2023"
AL,Albania,2016,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,27098.0,"EEA, 2023"
AL,Albania,2017,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12761.0,"EEA, 2023"
AL,Albania,2017,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,28104.0,"EEA, 2023"
AL,Albania,2018,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12879.0,"EEA, 2023"
AL,Albania,2018,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,31826.0,"EEA, 2023"
AL,Albania,2019,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,12543.0,"EEA, 2023"
AL,Albania,2019,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,31113.0,"EEA, 2023"
AL,Albania,2020,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,13287.0,"EEA, 2023"
AL,Albania,2020,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,34193.0,"EEA, 2023"
AL,Albania,2021,env-price,NH3,Ammonia,air,All,Health,Central,VOLY,€2021/t,13743.0,"EEA, 2023"
AL,Albania,2021,env-price,NH3,Ammonia,air,All,Health,Central,VSL,€2021/t,38584.0,"EEA, 2023"
AL,Albania,2012,env-price,NH3,Ammonia,air,Eutrophication,Ecosystems,Central,NA,€2021/t,186.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,Eutrophication,Ecosystems,Central,NA,€2021/t,186.0,"EEA, 2023"
