Transfer emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1990,,-0.035731,,,,,,-0.83594,2.9514,,34.901,-27.2558,23.2085,,0.66505,-4.2001,,46.6009,-34.6551,,-0.3521,,,1.3654,,,0,-26.6688,,1.4797,15.33,-0.22323,,-0.59388,-0.45399,-24.8067,,,,,0.83201,164.5538,-5.0962,,,,-2.242,1.9375,,,-2.154,12.8723,-1.1768,,-8.549,,,-0.43358,0.27913,-5.1293,-1.6277,,,5.5498,-0.93433,,,,-23.7834,-99.4734,,,,,6.0529,-140.1868,-1.082,,-13.0631,,,,-1.813,0,,,,-0.82184,-58.8736,-18.4246,,2.7253,8.5102,7.9804,,-6.597,-13.6887,-128.3842,0.070458,-159.6315,-5.6737,-11.6242,-2.3421,,,-1.0882,-0.82565,-0.29059,-1.9047,,,,,,-7.4943,0,,-0.45714,-0.79413,-11.725,,,-0.96654,,,,-1.2316,-5.5174,,,0.87732,,,-8.1712,-2.9943,,0,,-0.43304,-39.2528,,-1.3777,-0.64174,,0.98591,,,,,,-1.2926,-4.4713,,-0.32375,,-1.6378,-2.4734,-21.355,53.9933,-6.6311,0.7722,,13.2154,493.8044,0,,,,,,,,,10.7825,-0.26439,,,,-27.8118,-11.6439,-1.3751,,,93.7515,-69.843,-34.4653,-2.5061,,,,-28.0905,-41.7424,,-50.6942,6.8303,-1.5318,-32.1549,,-0.31077,,5.2083,-2.2495,-63.8069,,,,-0.77102,203.5392,-3.9338,-67.4093,74.6522,-0.92642,,,27.2059,-1.8154,,,,-0.32731,-2.4494
1991,,-0.32375,,,,,,-3.6497,2.7677,,35.6949,-25.3205,28.5571,,-0.04837,-4.6192,,37.0964,-32.256,,-0.36876,,,1.3428,,,0,-22.3228,,2.3529,16.8007,-0.2303,,-0.6231,-0.44002,-32.2622,,,,,-0.012521,206.4754,-3.8472,,,,-1.9442,1.3458,,,-1.7684,18.3222,-1.2716,,-1.6455,,,-0.40209,0.47689,1.0714,-1.5334,,,3.8852,-1.0063,,,,-19.3529,-86.1322,,,,,4.5233,-127.1583,-1.0949,,-12.0073,,,,-1.844,0,,,,-0.87312,-63.4094,-13.9304,,18.8425,14.7157,8.8287,,-7.5727,-13.9281,-122.5285,0.31735,-165.9631,-4.5366,53.6882,-2.4626,,,-7.4388,-1.6133,-0.31804,-1.9334,,,,,,-8.0088,0,,-0.4383,-0.75736,-7.019,,,-0.97295,,,,-1.2977,-9.6749,,,3.211,,,-7.069,-2.7863,,0,,-0.49793,-38.497,,-0.82329,-0.66289,,2.0488,,,,,,-1.7453,-3.012,,0.033771,,-1.7184,-2.9134,-19.3855,36.698,-7.0612,1.6669,,12.2607,328.5094,0,,,,,,,,,19.473,-0.26287,,,,-29.7064,-4.0083,-1.6208,,,85.0215,-65.7906,-30.3293,-2.8435,,,,-26.9326,-42.0008,,-41.1006,5.2531,-1.5785,-25.6291,,-0.33718,,4.528,-0.90735,-55.3432,,,,-0.77643,175.7015,-4.2477,-66.9982,103.8329,-0.89766,,,17.0479,-1.5746,,,,-0.55065,-1.9504
1992,,-0.39882,,,,,,-7.0883,2.1041,,38.0857,-32.8674,42.9083,,-0.5745,-5.3068,,48.1416,-49.8577,,-0.36707,,,1.1713,,,0,-20.0832,,1.7308,15.1629,-0.23682,,-0.6751,-0.57628,-31.5616,,,,,-1.2753,154.9968,-5.8821,,,,-1.993,-1.816,,,-2.8241,-2.5469,-1.9733,,-11.0611,,,-0.45604,2.1074,-5.1602,-1.69,,,0.40266,-1.1129,,,,-49.3898,-138.0011,,,,,5.8618,-237.7629,-1.1641,,-19.6776,,,,-2.1685,0,,,,-1.0208,-66.9872,-32.9015,,9.1549,15.0079,8.0467,,-9.4808,-15.9377,-172.8277,0.5974,-243.3258,-5.0589,107.7806,-2.8757,,,-3.7838,-6.8911,-0.32785,-4.2024,,,,,,-31.3145,0,,-0.46267,-0.73857,-8.4517,,,-1.1741,,,,-1.4125,-14.6043,,,1.7625,,,-11.0535,-2.5407,,0,,-0.49649,-66.9281,,-0.15309,-0.80429,,2.3657,,,,,,-1.776,-5.4521,,0.5199,,-1.7729,-3.1031,-28.3304,17.0132,-9.0936,3.8867,,11.6999,1189.9759,0,,,,,,,,,23.1289,-0.32679,,,,-36.4918,-7.1394,-5.8558,,,73.1213,-94.8646,-43.7305,-2.8466,,,,-36.0794,-49.5617,,-76.9477,2.302,-1.5704,-49.5304,,-0.38435,,5.0933,-6.0564,-85.3429,,,,-0.81132,148.4379,-5.6189,-98.4585,27.9974,-0.98008,,,10.2815,-1.5301,,,,-0.56262,-0.94059
1993,,-0.33487,,,,,,-5.9395,0.70263,,41.5102,-28.3958,24.3856,,1.345,-4.9324,,42.3283,-41.266,,-0.351,,,1.2021,,,0,-17.9983,,0.98136,12.935,-0.23363,,-0.59838,-0.59138,-18.1142,,,,,-1.4579,164.6906,-5.81,,,,-1.8674,-1.3906,,,-1.8285,7.7307,-1.4748,,-6.4779,,,-0.25998,1.5012,0.49659,-1.4581,,,1.498,-1.0621,,,,-28.817,-115.953,,,,,1.8457,-200.837,-1.1354,,-15.155,,,,-1.998,0,,,,-0.87982,-61.0764,-23.7833,,25.5882,21.1145,23.0056,,-6.8105,-13.9745,-127.6556,0.2031,-221.5972,-4.5994,43.4552,-2.3799,,,1.2376,-4.7996,-0.3392,-2.7113,,,,,,-16.0729,0,,-0.50444,-0.80781,-0.49197,,,-0.84308,,,,-1.4165,-16.0462,,,3.1364,,,-8.2774,-2.7747,,0,,-0.51495,-48.2985,,-0.5777,-0.73971,,1.004,,,,,,-2.0933,-5.1005,,0.31646,,-1.5945,-2.6618,-23.3361,28.066,-8.983,4.0124,,10.7671,753.2604,0,,,,,,,,,21.3973,-0.32193,,,,-34.9231,-5.2661,-4.0641,,,81.1463,-73.1689,-31.928,-3.0036,,,,-29.5055,-43.5689,,-54.3949,1.9415,-1.5894,-31.9366,,-0.39486,,4.5396,-3.0113,-60.0645,,,,-0.9844,136.9718,-3.443,-77.3623,67.7086,-1.1836,,,14.8864,-2.1019,,,,-0.69933,-0.74571
1994,,-0.44883,,,,,,-5.6722,0.9009,,37.7719,-27.84,23.0122,,0.32266,-5.6679,,37.5943,-37.8015,,-0.42766,,,1.0759,,,0,-21.6757,,0.28909,14.7958,-0.24625,,-0.64938,-0.2701,-8.8776,,,,,-0.24013,353.8002,-5.6423,,,,-1.6699,-1.7821,,,-1.592,7.2222,-1.3166,,-4.1295,,,-0.32216,-0.77784,-1.9786,-1.537,,,3.4117,-1.1467,,,,-16.5933,-110.6541,,,,,1.1506,-191.5828,-1.1745,,-12.9335,,,,-1.8688,0,,,,-0.78663,-90.4487,-17.8234,,30.8933,19.877,30.2526,,-6.3072,-13.7061,-117.2701,0.59246,-240.2276,-4.6651,32.7619,-2.5076,,,3.2465,-4.5719,-0.409,-3.3784,,,,,,-12.9116,0,,-0.50453,-0.81528,0.47031,,,-1.0189,,,,-1.5598,-14.2798,,,2.0297,,,-7.5504,-2.8461,,0,,-0.51195,-43.8983,,-1.187,-0.71127,,2.0452,,,,,,-1.6063,-4.9148,,0.5521,,-1.6888,-2.9454,-21.0973,36.1744,-9.1252,4.0893,,16.5789,471.2379,0,,,,,,,,,20.3137,-0.18487,,,,-31.2842,-1.0684,-2.787,,,81.5911,-69.4758,-23.3292,-3.2732,,,,-26.2881,-43.8638,,-48.2503,0.72165,-1.7205,-23.2796,,-0.48949,,4.174,-1.3175,-42.6284,,,,-1.0137,145.2698,-4.1978,-75.3633,54.0275,-1.343,,,18.007,-1.8262,,,,-0.81114,0.0082929
1995,,-0.45744,,,,,,-3.0974,0.67953,,43.3615,-29.0346,10.1017,,0.41426,-5.3365,,25.992,-40.6849,,-0.47289,,,0.95104,,,0,-30.0631,,0.56,11.3621,-0.28036,,-0.52399,-0.24649,-4.2751,,,,,0.15632,367.6098,-7.4658,,,,-1.9301,-2.8815,,,-1.9679,8.0125,-1.175,,-6.5083,,,0.18554,1.123,-0.97594,-1.6256,,,2.3847,-1.1966,,,,-17.1745,-115.8862,,,,,0.015413,-200.2425,-1.2604,,-13.6844,,,,-2.0775,0,,,,-0.62084,-95.8108,-14.7641,,41.2248,17.8555,22.1208,,-6.3617,-15.0674,-114.0749,0.479,-259.278,-5.2309,38.6478,-2.7973,,,3.0922,-6.294,-0.47789,-3.5596,,,,,,-12.9219,0,,-0.50615,-0.87112,11.2189,,,-1.288,,,,-1.6209,5.7973,,,1.8907,,,-7.8269,-3.0964,,0,,-0.48078,-46.0441,,-2.3357,-0.6779,,7.5302,,,,,,-1.2734,-5.1497,,0.080487,,-1.6578,-3.3248,-20.9574,41.2472,-9.0889,3.7643,,20.2261,451.1246,0,,,,,,,,,19.9264,-0.32776,,,,-49.4505,-2.3706,-3.4739,,,90.8242,-68.0705,-21.7698,-3.4879,,,,-25.9624,-47.092,,-46.7854,1.6309,-1.6942,-18.196,,-0.53191,,4.5725,-1.607,-42.5598,,,,-1.0399,170.8086,-6.7551,-76.9233,54.3408,-1.4539,,,14.901,-1.9244,,,,-1.0395,-0.92535
1996,,-1.0086,,,,,,-3.1669,-0.28848,,43.8419,-33.6971,2.9203,,1.1898,-5.7171,,13.6221,-36.1238,,-0.51785,,,1.0797,,,0,-32.6761,,-0.09371,9.6133,-0.23417,,-0.73576,-0.13641,2.4439,,,,,-0.096898,383.4219,-6.5429,,,,-1.9022,-2.453,,,-2.8552,12.5999,0.29856,,1.8465,,,0.15426,2.1151,-3.5808,-1.6913,,,2.2836,-1.1667,,,,-10.7629,-102.0337,,,,,-3.7396,-164.3206,-2.199,,-9.898,,,,-2.2261,0,,,,-0.89962,-93.9788,-7.3232,,55.2466,23.8352,12.8106,,-12.6085,-15.028,-87.7069,2.3996,-240.1849,-1.1909,39.7175,-0.19092,,,6.7741,-3.1449,-0.45674,-5.0446,,,,,,-6.9823,0,,-0.18237,-1.112,9.515,,,-1.3249,,,,-2.0436,0.79629,,,0.45114,,,-4.0639,-1.7737,,0,,-0.46583,-34.6357,,-2.7582,-0.57788,,9.1105,,,,,,-1.1241,-5.5243,,0.26067,,-1.546,-3.1767,-19.0242,48.1268,-9.0122,3.9061,,27.5841,333.0024,0,,,,,,,,,18.5949,-0.98178,,,,-53.8092,-4.2136,-2.2613,,,99.231,-69.9599,-19.0126,-3.2155,,,,-27.5392,-64.1297,,-23.3825,-1.3234,-1.3319,-9.1246,,-0.41935,,5.4696,-0.57429,-11.1223,,,,-0.70203,63.6671,-6.058,-84.7133,73.7945,-1.9016,,,22.0633,-2.6339,,,,-1.2934,-1.6367
1997,,-0.68397,,,,,,-7.0724,-0.82601,,44.627,-27.9357,4.1742,,3.0676,-5.9862,,16.3046,-46.6744,,-0.68483,,,0.78112,,,0,-35.5653,,1.6605,9.2265,-0.28093,,-0.75499,-0.68488,-15.2729,,,,,0.9266,456.9759,-7.032,,,,-2.1643,-2.3865,,,-1.9394,12.2019,0.3398,,-1.9826,,,-0.3928,-0.3982,-1.4275,-1.8165,,,2.7206,-1.423,,,,-10.8229,-94.8118,,,,,-2.5276,-146.7769,-3.1378,,-6.4025,,,,-2.6808,0,,,,-1.3754,-106.9268,-8.2061,,53.9388,33.0055,1.266,,-10.408,-14.6768,-86.504,2.1263,-222.8323,-3.5356,38.9142,-1.1717,,,7.4277,0.23784,-0.40099,-4.9757,,,,,,-6.5076,0,,-0.25477,-1.0762,6.3983,,,-1.0683,,,,-1.9646,-14.4404,,,1.5399,,,-2.3124,-0.71112,,0,,-0.42131,-36.081,,-2.5669,-0.66657,,5.8563,,,,,,-1.2251,-4.0229,,0.31886,,-1.7059,-3.4416,-18.6674,45.0461,-16.1687,7.2442,,27.8574,304.2563,0,,,,,,,,,13.2237,-1.0938,,,,-55.1714,-3.1242,-2.3054,,,106.6107,-53.0505,-12.1062,-2.7894,,,,-27.871,-53.3233,,-28.9839,-0.95658,-1.4374,7.5914,,-0.49102,,5.0659,0.025533,-12.748,,,,-0.78338,63.5945,-7.4787,-107.8364,43.3813,-2.4876,,,13.6447,-0.091156,,,,-1.7203,-1.0576
1998,,-0.7822,,,,,,-8.3843,-0.61455,,38.4419,-31.6075,1.5491,,2.254,-5.9344,,-11.3636,-50.4699,,-0.89009,,,0.36773,,,0,-31.7956,,0.15991,7.2259,-0.86487,,-0.90642,-0.72226,-11.2122,,,,,1.275,404.724,-6.4339,,,,-2.8595,-1.4547,,,-3.3607,11.2618,-1.9418,,-4.3958,,,-1.6344,-1.6015,-4.7447,-2.409,,,-0.11168,-2.0127,,,,-12.1911,-96.188,,,,,-2.5965,-156.934,-2.6719,,-8.7978,,,,-3.4046,0,,,,-1.4314,-76.9218,-9.8948,,56.0468,90.7541,-2.2391,,-8.4444,-15.0382,-83.9138,-0.24805,-167.5878,-3.8514,30.9314,-3.055,,,-1.5599,-4.9266,-0.43242,-5.1366,,,,,,-6.2069,0,,-0.59396,-1.0374,30.4368,,,-2.2358,,,,-1.5722,-20.1996,,,1.2233,,,-4.0799,-1.6643,,0,,-1.8866,-40.2065,,-1.6588,-0.79394,,0.28004,,,,,,-1.7745,-0.32919,,0.53399,,-1.3336,-3.902,-12.0909,42.3438,-21.745,5.2675,,16.684,409.7647,0,,,,,,,,,-8.4165,-1.0018,,,,-49.0003,-4.6513,-2.9727,,,107.8358,17.1914,-17.3674,-3.3496,,,,-29.024,-72.2837,,-17.5417,-1.309,-1.7192,29.5858,,-0.61771,,4.6447,0.72652,-14.8628,,,,-1.3243,84.6017,-12.6426,-125.6774,-74.2805,-2.8588,,,6.689,0.58769,,,,-1.5725,0.57268
1999,,-0.80263,,,,,,-1.5309,-2.1387,,47.1758,-31.2634,1.9003,,8.6655,-5.1919,,-9.9422,-63.3356,,-0.54466,,,-0.46952,,,0,-5.8909,,1.5638,4.7815,-1.2933,,-0.83265,0.053819,2.1585,,,,,1.5471,384.6852,-0.71653,,,,-4.1784,-1.9467,,,-1.5829,6.3266,-0.32969,,-10.8189,,,-2.4254,0.31554,-6.0474,-2.3184,,,-3.851,-1.9565,,,,-15.3406,-101.2649,,,,,-1.8069,-194.5956,-3.9822,,-5.6191,,,,-3.2759,0,,,,-2.0336,-63.5426,-10.3059,,44.9025,44.6026,49.8285,,-13.0049,-9.1315,-95.2919,0.28861,-223.1548,-3.0563,21.539,-1.1514,,,10.7109,-1.1804,-0.37856,-4.6117,,,,,,-6.4076,-0.53819,,-0.7707,-0.99986,10.3854,,,-1.6284,,,,-1.4032,-23.6463,,,0.86793,,,-6.2414,-2.7779,,0,,-3.0862,23.7259,,-2.7267,-0.89938,,21.7035,,,,,,2.7755,-7.6999,,-0.18357,,-1.4821,-3.8117,-17.8652,20.1544,-31.1295,18.0696,,9.5394,482.903,0,,,,,,,,,44.382,-0.89512,,,,-54.3659,-2.2282,-2.7125,,,81.6802,-25.9593,-17.9174,-5.5711,,,,-26.295,-62.0146,,-18.5669,-0.86199,-1.9417,18.8705,,-0.040149,,8.7669,-0.56676,-21.2382,,,,-1.4067,60.7181,-2.5833,-118.7692,-185.5651,-3.3695,,,44.1788,4.7477,,,,-1.479,1.7031
