countries,Year,Territorial GHG emissions,Residential GHG emissions,Transfer GHG emissions,Footprint GHG emissions,GDP,Population,As,Pb,NOx,SOx,NH3,PM2.5,PM10,NMVOC,Cd,Hg,Cr,Ni,GHG: Territorial & Low scenario,GHG: Territorial & Central scenario,GHG: Territorial & High scenario,GHG: Residential & Low scenario,GHG: Residential & Central scenario,GHG: Residential & High scenario,GHG: Footprint & Low scenario,GHG: Footprint & Central scenario,GHG: Footprint & High scenario,Nox (Health - VOLY),Nox (Health - VSL),"Nox (Crops, Forests, Buildings & Ecosystems)",Nox (Crops),Nox (Forests),Nox (Buildings),Nox (Ecosystems),Nox (Total - VOLY),Nox (Total - VSL),PM2.5 (Health - VOLY),PM2.5 (Health - VSL),PM10 (Health - VOLY),PM10 (Health - VSL),SOx (Health - VOLY),SOx (Health - VSL),SOx (Buildings),SOx (Total - VOLY),SOx (Total - VSL),NMVOC (Health - VOLY),NMVOC (Health - VSL),NMVOC (Forests & Crops),NMVOC (Forests),NMVOC (Crops),NMVOC (Total - VOLY),NMVOC (Total - VSL),NH3 (Health - VOLY),NH3 (Health - VSL),NH3 (Ecosystems),NH3 (Total - VOLY),NH3 (Total - VSL),Pb (Total),Hg (Total),Cd (Total),As (Total),Ni (Total),Cr (Total),Health - VOLY (Total),Health - VSL (Total),Crops (Total),Forests (Total),Buildings (Total),Ecosystems (Total),Air Pollutants - VOLY,Air Pollutants - VSL,Heavy Metals (Total),External costs (Territorial & Low GHG with VOLY) scenario,External costs (Territorial & Low GHG with VSL) scenario,External costs (Territorial & Central GHG with VOLY) scenario,External costs (Territorial & Central GHG with VSL) scenario,External costs (Territorial & High GHG with VOLY) scenario,External costs (Territorial & High GHG with VSL) scenario,External costs (Residential & Low GHG with VOLY) scenario,External costs (Residential & Low GHG with VSL) scenario,External costs (Residential & Central GHG with VOLY) scenario,External costs (Residential & Central GHG with VSL) scenario,External costs (Residential & High GHG with VOLY) scenario,External costs (Residential & High GHG with VSL) scenario,External costs (Footprint & Low GHG with VOLY) scenario,External costs (Footprint & Low GHG with VSL) scenario,External costs (Footprint & Central GHG with VOLY) scenario,External costs (Footprint & Central GHG with VSL) scenario,External costs (Footprint & High GHG with VOLY) scenario,External costs (Footprint & High GHG with VSL) scenario,Heavy Metals Emissions,Air Pollutants Emissions
Belgium,2012,0.04809046901656444,0.051047369202542825,0.0940396629355178,0.07154445142052046,0,0.019770983048086777,0.026430783787751988,0.05347437312698111,0.07630963543753833,0.13269815303694021,0.027475315018053226,0.015110211506214277,0.015914686512008558,0.05273124372048821,0.513215391893876,0.513215391893876,0.09133539820190184,0.31850154865142644,0.04809046901656444,0.04809046901656444,0.04809046901656444,0.051047369202542825,0.051047369202542825,0.051047369202542936,0.07154445142052035,0.07154445142052046,0.07154445142052046,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.07630963543753833,0.015110211506214277,0.015110211506214277,0.015914686512008558,0.015914686512008558,0.13269815303694021,0.13269815303694021,0.13269815303694021,0.13269815303694021,0.13269815303694021,0.05273124372048821,0.05273124372048821,0.05273124372048821,0.05273124372048821,0.05273124372048821,0.05273124372048821,0.05273124372048821,0.027475315018053226,0.027475315018053226,0.027475315018053226,0.027475315018053226,0.027475315018053226,0.05347437312698111,0.513215391893876,0.513215391893876,0.026430783787751988,0.31850154865142644,0.09133539820190184,0.04976769039014595,0.0503676317167856,0.056197842402140985,0.047518821163660796,0.10828777318338345,0.06292850839185049,0.04998296009668779,0.05043226425319525,0.16721495396803687,0.05635464785308719,0.05290577373229233,0.05506663695126213,0.05257644821837304,0.05082104278224331,0.05075706656365797,0.057130678947448055,0.053225280052529245,0.05616798640810505,0.05307320122799031,0.05303306928925766,0.05224141201958554,0.0646758759158731,0.057023260653302765,0.06620281067457601,0.05869521407074718,0.0698844124762874,0.06556429931158836,0.12814697055619584,0.06310560964389567
Bulgaria,2012,0.09780423165440943,0.09347293274239155,0.2984856945931996,0.07232485015085977,0,0.02397257046560497,0.7545875901957861,0.4199343040991307,0.19064315263394316,0.5157793745558577,-0.014126955999143487,0.04154966841994068,0.10214101380153029,0.044185261189235714,0.5091751803915722,0.5091751803915722,0.5091751803915722,0.46455474224535154,0.09780423165440943,0.09780423165440943,0.09780423165440943,0.09347293274239155,0.09347293274239143,0.09347293274239143,0.07232485015085988,0.07232485015085965,0.07232485015085977,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.19064315263394316,0.04154966841994068,0.04154966841994068,0.10214101380153029,0.10214101380153029,0.5157793745558577,0.5157793745558577,0.5157793745558577,0.5157793745558577,0.5157793745558577,0.044185261189235714,0.044185261189235714,0.044185261189235714,0.044185261189235714,0.044185261189235714,0.044185261189235714,0.044185261189235714,-0.014126955999143487,-0.014126955999143487,-0.014126955999143487,-0.014126955999143487,-0.014126955999143487,0.4199343040991307,0.5091751803915722,0.5091751803915722,0.7545875901957861,0.46455474224535154,0.5091751803915722,0.3152302825017588,0.29684585343456393,0.18008803118637418,0.1819670136529743,0.4852480693335458,0.07494311864246983,0.31650342327461733,0.29731894161769257,0.4749654760322395,0.29172479771475457,0.29002151704020407,0.2739374454653992,0.28346296257677417,0.18977665582676762,0.23631491652903558,0.2860021943286549,0.28800133452721755,0.26606868816418905,0.28032463188546486,0.17837483994852354,0.22754252507973094,0.2857966394887653,0.2879405666085362,0.2652646174420633,0.28015552874086724,0.17078740571053763,0.22511893103975777,0.49991433473858293,0.3626752330855041
Cyprus,2012,0.04136127095857556,0.051408128817332255,-0.6025796277374977,0.01509265746159072,0,-0.04560540890271603,1.0,-0.018604388727597287,0.007807051474363447,0.21268928440251733,0.037911725743740576,0.20350284982527955,0.23053971231837733,0.007987084712737902,1.0,1.0,1.0,-0.018604388727597287,0.04136127095857556,0.04136127095857556,0.04136127095857556,0.051408128817332255,0.051408128817332255,0.05140812881733248,0.01509265746159072,0.01509265746159072,0.01509265746159083,0.007807051474363447,0.007807051474363447,0.007807051474363447,0.007807051474363447,0.007807051474363447,0.007807051474363447,1.0,0.007807051474363447,0.007807051474363447,0.20350284982527955,0.20350284982527955,0.23053971231837733,0.23053971231837733,0.21268928440251733,0.21268928440251733,0.21268928440251733,0.21268928440251733,0.21268928440251733,0.007987084712737902,0.007987084712737902,0.007987084712737902,1.0,0.007987084712737902,0.007987084712737902,0.007987084712737902,0.037911725743740576,0.037911725743740576,1.0,0.037911725743740576,0.037911725743740576,-0.018604388727597287,1.0,1.0,1.0,-0.018604388727597287,1.0,0.13293793349361926,0.12596625954505203,0.007816783729886145,0.007807051474363447,0.16770653159508686,1.0,0.13206130088389678,0.12563339799644702,0.07023531280904716,0.0831113906082116,0.09375702520678586,0.07240661749654909,0.0835469077099622,0.050087007942368866,0.05569056339241518,0.08698857658960557,0.09623777507810016,0.07764125173906455,0.08719171523313973,0.0586531648647135,0.06328425064528742,0.06597973312096539,0.0809976669161312,0.05235146792928702,0.06732257258069563,0.02524004925912615,0.03210549295140208,0.07399601024763891,0.09463863032847875
Czechia,2012,0.01606333779032354,0.016426519657293248,1.8547342779223785,0.0247675550256804,0,-0.017895041603654294,0.49195909894672096,-0.10845287502533596,0.033344606348760686,0.028235446300625577,-0.02362480092415775,-0.02096366639713909,-0.015334184552262542,0.007600617155488432,-0.016081802106558074,-0.016081802106558074,-0.016081802106558074,0.12907274105152167,0.01606333779032354,0.01606333779032354,0.01606333779032354,0.016426519657293248,0.016426519657293248,0.016426519657293137,0.0247675550256804,0.0247675550256804,0.0247675550256804,0.033344606348760686,0.033344606348760686,0.033344606348760686,0.033344606348760686,0.033344606348760686,0.033344606348760686,0.033344606348760686,0.033344606348760686,0.033344606348760686,-0.02096366639713909,-0.02096366639713909,-0.015334184552262542,-0.015334184552262542,0.028235446300625577,0.028235446300625577,0.028235446300625577,0.028235446300625577,0.028235446300625577,0.007600617155488432,0.007600617155488432,0.007600617155488432,0.007600617155488432,0.007600617155488432,0.007600617155488432,0.007600617155488432,-0.02362480092415775,-0.02362480092415775,-0.02362480092415775,-0.02362480092415775,-0.02362480092415775,-0.10845287502533596,-0.016081802106558074,-0.016081802106558074,0.49195909894672096,0.12907274105152167,-0.016081802106558074,0.0015742250294364935,0.0019290736047210544,0.027054419251765327,0.02704028290353755,0.029606062473229278,0.009528034326897528,0.0020414421598151655,0.002073069734963129,-0.07049569801333178,0.003634636409928005,0.0027193397877636194,0.00573313509259854,0.003741624439261182,0.012215116149633776,0.009079334920293225,0.003658507053473259,0.002726501317305008,0.005786238745557393,0.0037570492049651127,0.012430150702942955,0.009188611961611026,0.006185841011335902,0.0037558892955075196,0.009290618233724235,0.005342281027268969,0.01896421033450324,0.013687706797738564,-0.016081802106558074,0.013714043422625055
Germany,2012,0.021920477785634884,0.007150072495120119,0.41193479264312616,0.0687710937876892,0,0.017555923538402296,0.018850330199503995,0.06613465163567245,0.022057154212060448,0.06583908345696454,0.010554749040309175,0.03236808811967129,0.03296694042165471,0.031521884111770926,0.018850330199503995,0.10804575472682176,0.005591550877875551,0.04002622235347153,0.021920477785634884,0.021920477785634884,0.021920477785634884,0.007150072495120119,0.007150072495120119,0.007150072495120119,0.06877109378768909,0.0687710937876892,0.06877109378768909,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.022057154212060448,0.03236808811967129,0.03236808811967129,0.03296694042165471,0.03296694042165471,0.06583908345696454,0.06583908345696454,0.06583908345696454,0.06583908345696454,0.06583908345696454,0.031521884111770926,0.031521884111770926,0.031521884111770926,0.031521884111770926,0.031521884111770926,0.031521884111770926,0.031521884111770926,0.010554749040309175,0.010554749040309175,0.010554749040309175,0.010554749040309175,0.010554749040309175,0.06613465163567245,0.10804575472682176,0.018850330199503995,0.018850330199503995,0.04002622235347153,0.005591550877875551,0.02971633293560927,0.02949830890813343,0.026024439755840456,0.026454023308723817,0.04631148705358801,0.01644475436229198,0.02974806437157862,0.029508300019617684,0.05196794315456754,0.027958389267145,0.02880487849991331,0.026723533338813388,0.028137228514981794,0.023500273753417233,0.025080211273630915,0.021813659081232784,0.02618226967550963,0.018702980310283168,0.024227705190169035,0.01085730973503074,0.015585418109478,0.04819367566084798,0.037718497915166904,0.05289502495714926,0.04131439565628925,0.06392975601691442,0.05603161581113569,0.04523821862934607,0.028314345363688487
Denmark,2012,0.10580674739814933,0.09276439967277295,0.19066943580221007,0.1058100592832063,0,0.022828127663672704,1.0,0.08716618776956386,0.09857602638074636,0.12536483805411536,0.04488047914020232,0.08006786676607036,0.06561721776128415,0.06601961654057942,0.026310600287534736,1.0,0.026310600287534736,0.026310600287534736,0.10580674739814933,0.10580674739814933,0.10580674739814933,0.09276439967277306,0.09276439967277295,0.09276439967277295,0.10581005928320641,0.10581005928320619,0.1058100592832063,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.09857602638074636,0.08006786676607036,0.08006786676607036,0.06561721776128415,0.06561721776128415,0.12536483805411536,0.12536483805411536,0.12536483805411536,0.12536483805411536,0.12536483805411536,0.06601961654057942,0.06601961654057942,0.06601961654057942,0.06601961654057942,0.06601961654057942,0.06601961654057942,0.06601961654057942,0.04488047914020232,0.04488047914020232,0.04488047914020232,0.04488047914020232,0.04488047914020232,0.08716618776956386,1.0,0.026310600287534736,1.0,0.026310600287534736,0.026310600287534736,0.07851828125452454,0.07895773761687419,0.08674509525634022,0.08855058995864307,0.10556715624298874,0.06922289395474457,0.07867558837002664,0.07900491277884292,0.07079652404308567,0.09093052586821537,0.08517839365019719,0.09452084348855161,0.0880653918972435,0.10249487830890247,0.09840278356215293,0.08662229716369896,0.0834764583229961,0.08838024711386394,0.08522582125665379,0.0916272289292801,0.0901459222683535,0.09542874654072142,0.08892117068695282,0.09851707612913929,0.09234344462903188,0.10397202190915178,0.10135316124171512,0.06864492201416361,0.07542379250473197
Estonia,2012,0.03843942151914237,0.10627948451170444,1.2603943203396555,0.13460928199833389,0,0.07228599347650122,0.6897252284181797,0.49227764650247596,0.13737460329788131,0.4527989389600616,0.056989137289048086,0.5553361118807741,0.5477780950136395,0.05412591279366363,0.0691756852545391,1.0,0.2553405482036313,0.3018817639409044,0.03843942151914237,0.03843942151914237,0.03843942151914237,0.10627948451170455,0.10627948451170444,0.10627948451170444,0.134609281998334,0.13460928199833389,0.134609281998334,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.13737460329788131,0.5553361118807741,0.5553361118807741,0.5477780950136395,0.5477780950136395,0.4527989389600616,0.4527989389600616,0.4527989389600616,0.4527989389600616,0.4527989389600616,0.05412591279366363,0.05412591279366363,0.05412591279366363,0.05412591279366363,0.05412591279366363,0.05412591279366363,0.05412591279366363,0.056989137289048086,0.056989137289048086,0.056989137289048086,0.056989137289048086,0.056989137289048086,0.49227764650247596,1.0,0.0691756852545391,0.6897252284181797,0.3018817639409044,0.2553405482036313,0.43351174832945993,0.4311244846728286,0.12563346243375484,0.13027086650757058,0.4039823776444408,0.07304725590149141,0.41053535814925657,0.4238801064647988,0.3646671801858744,0.23084208785792892,0.3062000574570495,0.18643422462406745,0.2640962674405384,0.08325138349846439,0.12628816571830115,0.2354486197719764,0.30089564146230185,0.20116263125858025,0.26324623558472815,0.13228891580566726,0.1598528385644673,0.2492405188744422,0.3095047817325859,0.21856004021503972,0.27523607148291573,0.15748366426875005,0.18220328050527257,0.4182348032840869,0.34596854238528785
Greece,2012,-0.047637452859628615,-0.04652266170973962,-0.49999307242747704,0.0014531760361895518,0,-0.07565315667287331,-0.6188625580341076,0.06660176834069476,0.05476684584896663,0.03516922260351185,-0.04747128760978914,-0.11446719560031138,-0.0499451661921424,-0.035623178206267925,-0.07924170535607167,-0.07924170535607167,-0.07924170535607167,-0.1370582252858612,-0.047637452859628615,-0.047637452859628615,-0.047637452859628615,-0.04652266170973962,-0.0465226617097394,-0.0465226617097394,0.0014531760361894408,0.0014531760361895518,0.0014531760361895518,0.05476684584896663,0.05476684584896663,0.05476684584896663,0.05476684584896663,0.05476684584896663,0.05476684584896663,0.05476684584896663,0.05476684584896663,0.05476684584896663,-0.11446719560031138,-0.11446719560031138,-0.0499451661921424,-0.0499451661921424,0.03516922260351185,0.03516922260351185,0.03516922260351185,0.03516922260351185,0.03516922260351185,-0.035623178206267925,-0.035623178206267925,-0.035623178206267925,-0.035623178206267925,-0.035623178206267925,-0.035623178206267925,-0.035623178206267925,-0.04747128760978914,-0.04747128760978914,-0.04747128760978914,-0.04747128760978914,-0.04747128760978914,0.06660176834069476,-0.07924170535607167,-0.07924170535607167,-0.6188625580341076,-0.1370582252858612,-0.07924170535607167,-0.01993809796954693,-0.019652116844418366,0.03797169865531713,0.040695905977910174,0.045579891130125616,-0.0006822362967855433,-0.01901747377249907,-0.019383469627408667,0.0010858425210217293,-0.02774875835060775,-0.023227266768930166,-0.03178604115294115,-0.02573478327112344,-0.04239749929838221,-0.0368202302533831,-0.028157513891099217,-0.023506023814998445,-0.032091512749452544,-0.026073225013585555,-0.041922359288360855,-0.036843426143139846,-0.008946722927979156,-0.014763942081265746,-0.006823305187062534,-0.013083359685245766,-0.001272124112401185,-0.005694179568638491,-0.06960561870110671,0.004147583247924191
Spain,2012,-0.016393057640825104,-0.011998561343043335,0.5275631144944701,0.03821148467680091,0,-0.035012977814669055,-0.03167381757805221,0.04924177595748136,0.0280343925372023,-0.04362643531312682,-0.024101442713995835,0.09410332327136717,0.07115553670501684,0.011188973843951011,-0.03167381757805221,-0.2895922719725652,-0.0729407702811744,0.15115445389147597,-0.016393057640825104,-0.016393057640825104,-0.016393057640825104,-0.011998561343043113,-0.011998561343043335,-0.011998561343043335,0.03821148467680102,0.0382114846768008,0.0382114846768008,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.0280343925372023,0.09410332327136717,0.09410332327136717,0.07115553670501684,0.07115553670501684,-0.04362643531312682,-0.04362643531312682,-0.04362643531312682,-0.04362643531312682,-0.04362643531312682,0.011188973843951011,0.011188973843951011,0.011188973843951011,0.011188973843951011,0.011188973843951011,0.011188973843951011,0.011188973843951011,-0.024101442713995835,-0.024101442713995835,-0.024101442713995835,-0.024101442713995835,-0.024101442713995835,0.04924177595748136,-0.2895922719725652,-0.03167381757805221,-0.03167381757805221,0.15115445389147597,-0.0729407702811744,0.04010605020572533,0.03966666654309048,0.0264188225488321,0.02627670666693438,-0.002472968528949293,-0.0033079327943843495,0.03970667056609156,0.039544722134138066,0.01782618833910876,0.021850262257517628,0.03213554744438696,0.01566481470216763,0.028527353631583985,-0.0041269940744514955,0.009397351615658023,0.021517870514162207,0.031792439555586194,0.015596406566324439,0.028111190082348636,-0.002009534218390563,0.00981635124595226,0.037696361115301946,0.03869794096643542,0.03779235728676722,0.03865380335016477,0.038064891490529495,0.03844365233175839,0.06043991613427391,0.016154410404600528
Finland,2012,0.18420108064457918,0.09428393940796742,-0.16332558759710225,0.05202830409402326,0,0.010354426917893789,0.015116620323622043,0.17062452237778702,0.07195215514305098,0.18305561666214842,0.018834952627002965,0.028500019460880432,0.05216248934397916,0.04718862895124465,0.015116620323622043,0.015116620323622043,-0.10075201257948119,0.06436078930744094,0.18420108064457918,0.18420108064457918,0.18420108064457918,0.09428393940796753,0.09428393940796742,0.09428393940796742,0.05202830409402337,0.05202830409402315,0.05202830409402326,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.07195215514305098,0.028500019460880432,0.028500019460880432,0.05216248934397916,0.05216248934397916,0.18305561666214842,0.18305561666214842,0.18305561666214842,0.18305561666214842,0.18305561666214842,0.04718862895124465,0.04718862895124465,0.04718862895124465,0.04718862895124465,0.04718862895124465,0.04718862895124465,0.04718862895124465,0.018834952627002965,0.018834952627002965,0.018834952627002965,0.018834952627002965,0.018834952627002965,0.17062452237778702,0.015116620323622043,0.015116620323622043,0.015116620323622043,0.06436078930744094,-0.10075201257948119,0.07152505889381044,0.07156978474403819,0.06829441348573706,0.06976212575061236,0.13463569338593018,0.05323669022669697,0.07169096856884738,0.07161990695878528,0.11432360872442615,0.13139551442869202,0.10395964846038597,0.14400187829445055,0.11560323527026084,0.17231356933358544,0.1561746685317128,0.09036087204342935,0.08302641063201543,0.09148081267057717,0.0852303335045157,0.09355546864687114,0.09121811216380571,0.06366834535733412,0.06655608007569203,0.06018164838267359,0.06345196645109896,0.05407261900378524,0.05567618606453928,0.04740787867366725,0.07311711729157999
