countries,Year,Territorial GHG emissions,Residential GHG emissions,Transfer GHG emissions,Footprint GHG emissions,GDP,Population,As,Pb,NOx,SOx,NH3,PM2.5,PM10,NMVOC,Cd,Hg,Cr,Ni,GHG: Territorial & Low scenario,GHG: Territorial & Central scenario,GHG: Territorial & High scenario,GHG: Residential & Low scenario,GHG: Residential & Central scenario,GHG: Residential & High scenario,GHG: Footprint & Low scenario,GHG: Footprint & Central scenario,GHG: Footprint & High scenario,Nox (Health - VOLY),Nox (Health - VSL),"Nox (Crops, Forests, Buildings & Ecosystems)",Nox (Crops),Nox (Forests),Nox (Buildings),Nox (Ecosystems),Nox (Total - VOLY),Nox (Total - VSL),PM2.5 (Health - VOLY),PM2.5 (Health - VSL),PM10 (Health - VOLY),PM10 (Health - VSL),SOx (Health - VOLY),SOx (Health - VSL),SOx (Buildings),SOx (Total - VOLY),SOx (Total - VSL),NMVOC (Health - VOLY),NMVOC (Health - VSL),NMVOC (Forests & Crops),NMVOC (Forests),NMVOC (Crops),NMVOC (Total - VOLY),NMVOC (Total - VSL),NH3 (Health - VOLY),NH3 (Health - VSL),NH3 (Ecosystems),NH3 (Total - VOLY),NH3 (Total - VSL),Pb (Total),Hg (Total),Cd (Total),As (Total),Ni (Total),Cr (Total),Health - VOLY (Total),Health - VSL (Total),Crops (Total),Forests (Total),Buildings (Total),Ecosystems (Total),Air Pollutants - VOLY,Air Pollutants - VSL,Heavy Metals (Total),External costs (Territorial & Low GHG with VOLY) scenario,External costs (Territorial & Low GHG with VSL) scenario,External costs (Territorial & Central GHG with VOLY) scenario,External costs (Territorial & Central GHG with VSL) scenario,External costs (Territorial & High GHG with VOLY) scenario,External costs (Territorial & High GHG with VSL) scenario,External costs (Residential & Low GHG with VOLY) scenario,External costs (Residential & Low GHG with VSL) scenario,External costs (Residential & Central GHG with VOLY) scenario,External costs (Residential & Central GHG with VSL) scenario,External costs (Residential & High GHG with VOLY) scenario,External costs (Residential & High GHG with VSL) scenario,External costs (Footprint & Low GHG with VOLY) scenario,External costs (Footprint & Low GHG with VSL) scenario,External costs (Footprint & Central GHG with VOLY) scenario,External costs (Footprint & Central GHG with VSL) scenario,External costs (Footprint & High GHG with VOLY) scenario,External costs (Footprint & High GHG with VSL) scenario,Heavy Metals Emissions,Air Pollutants Emissions
Belgium,2012,0.028890683175793908,0.031907223325944756,0.07576666126286924,0.05281772675269969,-0.020169759011589017,0,0.006794127315649434,0.034383179334659175,0.057679023382986694,0.11520488379338933,0.007859726489145902,-0.004754778180680264,-0.003934077107888179,0.03362506118712294,0.5033970636578247,0.5033970636578247,0.07300785216127281,0.30475588912095464,0.028890683175793908,0.028890683175793908,0.028890683175793908,0.031907223325944756,0.031907223325944756,0.03190722332594487,0.05281772675269958,0.05281772675269969,0.05281772675269969,0.057679023382986694,0.057679023382986694,0.057679023382986694,0.057679023382986694,0.057679023382986694,0.057679023382986694,0.057679023382986694,0.057679023382986694,0.057679023382986694,-0.004754778180680264,-0.004754778180680264,-0.003934077107888179,-0.003934077107888179,0.11520488379338933,0.11520488379338933,0.11520488379338933,0.11520488379338933,0.11520488379338933,0.03362506118712294,0.03362506118712294,0.03362506118712294,0.03362506118712294,0.03362506118712294,0.03362506118712294,0.03362506118712294,0.007859726489145902,0.007859726489145902,0.007859726489145902,0.007859726489145902,0.007859726489145902,0.034383179334659175,0.5033970636578247,0.5033970636578247,0.006794127315649434,0.30475588912095464,0.07300785216127281,0.030601733700289624,0.031213775698908708,0.03716158032877448,0.028307505323457716,0.09030215246080486,0.044028002229484,0.03082134534493486,0.031279711858002046,0.15041788028111713,0.037321548507877944,0.03380311142720538,0.03600755873655881,0.03346714349703395,0.03167633195628983,0.03161106535279323,0.038113231962397576,0.0341290621129241,0.0371311221465338,0.033973915895143536,0.03393297450487798,0.03312534969885672,0.045810613735370764,0.038003647067145985,0.04736834640018317,0.03970932338209887,0.05112420522301164,0.046716956416877786,0.11056190505879049,0.04420867557110353
Bulgaria,2012,0.07564506790964387,0.07120738636407076,0.28125554243752005,0.049539877899047124,-0.024561369629786833,0,0.748559925286848,0.40568709613254994,0.1707642399433864,0.5038862527919574,-0.039035303016969,0.018008815554210966,0.08008836736608405,0.020709142091706267,0.4971198505736961,0.4971198505736961,0.4971198505736961,0.45140347335312303,0.07564506790964387,0.07564506790964387,0.07564506790964387,0.07120738636407076,0.07120738636407065,0.07120738636407065,0.049539877899047235,0.04953987789904701,0.049539877899047124,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.1707642399433864,0.018008815554210966,0.018008815554210966,0.08008836736608405,0.08008836736608405,0.5038862527919574,0.5038862527919574,0.5038862527919574,0.5038862527919574,0.5038862527919574,0.020709142091706267,0.020709142091706267,0.020709142091706267,0.020709142091706267,0.020709142091706267,0.020709142091706267,0.020709142091706267,-0.039035303016969,-0.039035303016969,-0.039035303016969,-0.039035303016969,-0.039035303016969,0.40568709613254994,0.4971198505736961,0.4971198505736961,0.748559925286848,0.45140347335312303,0.4971198505736961,0.2984114003589997,0.27957542453405293,0.15994987025645646,0.1618750031059466,0.47260505689680055,0.05222245465086961,0.2997158112129713,0.2800601324109149,0.46206990902066813,0.27432858867181453,0.27258347309103315,0.2561043546891275,0.26586383154718984,0.1698764607878469,0.2175577649131506,0.2684654303087043,0.27051367212862554,0.24804232993131536,0.2626484191557509,0.1581946006953665,0.20856991151492232,0.268254826760413,0.2704514116666319,0.24721851013097496,0.2624751626063132,0.15042080868051966,0.20608679068590086,0.48763154586753943,0.34702166391109945
Cyprus,2012,0.08317351758208347,0.09278216896549596,-0.5326810803506496,0.05805064305090457,0.043616271027686726,0,1.0,0.025823336361136873,0.05108280802901721,0.24702884195701913,0.07987442866626093,0.23824308540008032,0.26410070077094083,0.0512549888888727,1.0,1.0,1.0,0.025823336361136873,0.08317351758208347,0.08317351758208347,0.08317351758208347,0.09278216896549596,0.09278216896549596,0.09278216896549618,0.05805064305090457,0.05805064305090457,0.05805064305090468,0.05108280802901721,0.05108280802901721,0.05108280802901721,0.05108280802901721,0.05108280802901721,0.05108280802901721,1.0,0.05108280802901721,0.05108280802901721,0.23824308540008032,0.23824308540008032,0.26410070077094083,0.26410070077094083,0.24702884195701913,0.24702884195701913,0.24702884195701913,0.24702884195701913,0.24702884195701913,0.0512549888888727,0.0512549888888727,0.0512549888888727,1.0,0.0512549888888727,0.0512549888888727,0.0512549888888727,0.07987442866626093,0.07987442866626093,1.0,0.07987442866626093,0.07987442866626093,0.025823336361136873,1.0,1.0,1.0,0.025823336361136873,1.0,0.17075594758418766,0.16408835205607775,0.051092115799845406,0.05108280802901721,0.20400806908760893,1.0,0.16991755041996248,0.16377000868699143,0.1107881813975401,0.12310265269764264,0.13328396441230372,0.11286478187130833,0.12351917416744607,0.09151867045667528,0.09687781971349374,0.12681073028444734,0.13565651322487893,0.11787110088797137,0.12700500877784893,0.09971120355702923,0.10414029864504526,0.10671821422651362,0.12108112175099361,0.09368436314307271,0.10800248403642165,0.06775544345757467,0.07432144209704294,0.11438485123739717,0.1341271172060694
Czechia,2012,0.03336137617929413,0.03371817314963543,1.8397076741584062,0.041912569455217485,0.01758043891780947,0,0.500890680975437,-0.08896578696268276,0.05033883245141746,0.04531949367942978,-0.005629027636755657,-0.0030146770227412745,0.002515836060422383,0.025047433887658177,0.001781361950874083,0.001781361950874083,0.001781361950874083,0.14438402452932064,0.03336137617929413,0.03336137617929413,0.03336137617929413,0.03371817314963543,0.03371817314963543,0.03371817314963532,0.041912569455217485,0.041912569455217485,0.041912569455217485,0.05033883245141746,0.05033883245141746,0.05033883245141746,0.05033883245141746,0.05033883245141746,0.05033883245141746,0.05033883245141746,0.05033883245141746,0.05033883245141746,-0.0030146770227412745,-0.0030146770227412745,0.002515836060422383,0.002515836060422383,0.04531949367942978,0.04531949367942978,0.04531949367942978,0.04531949367942978,0.04531949367942978,0.025047433887658177,0.025047433887658177,0.025047433887658177,0.025047433887658177,0.025047433887658177,0.025047433887658177,0.025047433887658177,-0.005629027636755657,-0.005629027636755657,-0.005629027636755657,-0.005629027636755657,-0.005629027636755657,-0.08896578696268276,0.001781361950874083,0.001781361950874083,0.500890680975437,0.14438402452932064,0.001781361950874083,0.019126988380273047,0.019475598561854768,0.04415922960446228,0.04414534177944118,0.04666601381813129,0.026940966219216267,0.019585991628429777,0.019617063176924687,-0.05167591378263059,0.02115117682434431,0.020251971518537526,0.023212782979105007,0.021256283957162947,0.029580807964100675,0.026500155145122162,0.021174627811498703,0.02025900714524631,0.02326495304653675,0.02127143754871552,0.029792062115580165,0.026607511048090005,0.02365753012909033,0.021270298030975243,0.026707724005167077,0.022828800299796836,0.03621125011090254,0.03102750982226543,0.001781361950874083,0.0310533834377269
Germany,2012,0.004442547267374364,-0.010591799871968455,0.4014262781502348,0.052130366986124055,-0.017869641599990382,0,0.0013175372442201239,0.04944681255775174,0.004581666052555278,0.04914596268162197,-0.007126282977153009,0.015076852653656214,0.01568640623164752,0.014215527283414242,0.0013175372442201239,0.0921068520402002,-0.012178171711939134,0.02287183500153911,0.004442547267374364,0.004442547267374364,0.004442547267374364,-0.010591799871968455,-0.010591799871968455,-0.010591799871968455,0.052130366986123944,0.052130366986124055,0.052130366986123944,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.004581666052555278,0.015076852653656214,0.015076852653656214,0.01568640623164752,0.01568640623164752,0.04914596268162197,0.04914596268162197,0.04914596268162197,0.04914596268162197,0.04914596268162197,0.014215527283414242,0.014215527283414242,0.014215527283414242,0.014215527283414242,0.014215527283414242,0.014215527283414242,0.014215527283414242,-0.007126282977153009,-0.007126282977153009,-0.007126282977153009,-0.007126282977153009,-0.007126282977153009,0.04944681255775174,0.0921068520402002,0.0013175372442201239,0.0013175372442201239,0.02287183500153911,-0.012178171711939134,0.01237771155484424,0.012155791516137215,0.008619845567127471,0.009057105624138084,0.029269415129207776,-0.0011310253710443696,0.0124100100202017,0.012165961165202854,0.035026950073437924,0.010588354063071459,0.01144996975504764,0.009331431701873005,0.010770389104171163,0.006050573622902067,0.007658744060352385,0.004333819751008439,0.00878049585089491,0.00116755426528925,0.006791003998717127,-0.006818315631254457,-0.0020057176547099154,0.031185237772303087,0.020522872354610477,0.03597059849556561,0.024183027499597,0.0472025162445211,0.03916323910395869,0.028176967782884144,0.010950670967485587
Denmark,2012,0.08491711855774409,0.07157008300074086,0.17176232031448513,0.0849205078131563,-0.023361425261958058,0,1.0,0.06584108888855433,0.07751747759170302,0.10493211408683611,0.02256752583739907,0.05857694098945243,0.043788704227954,0.04420050361625727,0.003563828147791215,1.0,0.003563828147791215,0.003563828147791215,0.08491711855774409,0.08491711855774409,0.08491711855774409,0.07157008300074097,0.07157008300074075,0.07157008300074086,0.08492050781315641,0.08492050781315619,0.0849205078131563,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.07751747759170302,0.05857694098945243,0.05857694098945243,0.043788704227954,0.043788704227954,0.10493211408683611,0.10493211408683611,0.10493211408683611,0.10493211408683611,0.10493211408683611,0.04420050361625727,0.04420050361625727,0.04420050361625727,0.04420050361625727,0.04420050361625727,0.04420050361625727,0.04420050361625727,0.02256752583739907,0.02256752583739907,0.02256752583739907,0.02256752583739907,0.02256752583739907,0.06584108888855433,1.0,0.003563828147791215,1.0,0.003563828147791215,0.003563828147791215,0.05699115495179152,0.05744087764110606,0.06541015905405467,0.06725783268590624,0.0846719302117187,0.047478614156326815,0.05715213698571564,0.057489154882095383,0.049089006486366715,0.06969336729035835,0.06380685706543188,0.07336755984744858,0.06676129970625799,0.08152787948629148,0.07734018757395089,0.06528449222294985,0.06206516210328372,0.06708351038948979,0.06385539264837214,0.07040634632791387,0.06889043423213792,0.07429667280891694,0.0676370707082039,0.07745715017819876,0.07113929384720685,0.0830395312663591,0.08035949028116862,0.04688713996745253,0.05382437453434674
Estonia,2012,-0.036483842778438635,0.03664220955614317,1.280683829831839,0.0671794196094786,-0.07791840261998906,0,0.6655491138432423,0.45271673174348737,0.07016021032741782,0.41016190637186645,-0.016488762786687206,0.5206886120157306,0.5125416865473338,-0.01957508516109452,-0.0033526584702732176,1.0,0.19731787322378136,0.24748550614729514,-0.036483842778438635,-0.036483842778438635,-0.036483842778438635,0.03664220955614328,0.03664220955614317,0.03664220955614317,0.06717941960947871,0.0671794196094786,0.06717941960947871,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.07016021032741782,0.5206886120157306,0.5206886120157306,0.5125416865473338,0.5125416865473338,0.41016190637186645,0.41016190637186645,0.41016190637186645,0.41016190637186645,0.41016190637186645,-0.01957508516109452,-0.01957508516109452,-0.01957508516109452,-0.01957508516109452,-0.01957508516109452,-0.01957508516109452,-0.01957508516109452,-0.016488762786687206,-0.016488762786687206,-0.016488762786687206,-0.016488762786687206,-0.016488762786687206,0.45271673174348737,1.0,-0.0033526584702732176,0.6655491138432423,0.24748550614729514,0.19731787322378136,0.389371888656301,0.3867986132289122,0.05750421852222232,0.06250296171377323,0.35754163657713167,0.0008205787771200512,0.36460521485528263,0.37898976464293765,0.3151630617339044,0.1709105319812927,0.2521402741962625,0.12304247898048193,0.20675582411741744,0.01181979569657976,0.058209935240890576,0.17587599750370086,0.24642254658037221,0.13891849953309354,0.2058395591372264,0.06467825418958595,0.09438991377969252,0.19074253935332686,0.2557024973084483,0.15767148680516707,0.21876362389627646,0.09183613720732453,0.11848186645437608,0.3729045884560792,0.2950074559447263
Greece,2012,0.02604529502790709,0.027081680356182636,-0.3944951150119236,0.07168326726020324,0.07033229643175842,0,-0.5050042367201779,0.13224980945863607,0.12124726424384313,0.10302798684584558,0.02619977349413838,-0.036084158435879754,0.02389988847357527,0.03721457815493512,-0.0033361578134518677,-0.0033361578134518677,-0.0033361578134518677,-0.05708630912488699,0.02604529502790709,0.02604529502790709,0.02604529502790709,0.027081680356182636,0.027081680356182747,0.027081680356182747,0.07168326726020313,0.07168326726020324,0.07168326726020324,0.12124726424384313,0.12124726424384313,0.12124726424384313,0.12124726424384313,0.12124726424384313,0.12124726424384313,0.12124726424384313,0.12124726424384313,0.12124726424384313,-0.036084158435879754,-0.036084158435879754,0.02389988847357527,0.02389988847357527,0.10302798684584558,0.10302798684584558,0.10302798684584558,0.10302798684584558,0.10302798684584558,0.03721457815493512,0.03721457815493512,0.03721457815493512,0.03721457815493512,0.03721457815493512,0.03721457815493512,0.03721457815493512,0.02619977349413838,0.02619977349413838,0.02619977349413838,0.02619977349413838,0.02619977349413838,0.13224980945863607,-0.0033361578134518677,-0.0033361578134518677,-0.5050042367201779,-0.05708630912488699,-0.0033361578134518677,0.05179649067889114,0.05206235809475335,0.10563335832123244,0.10816596588687122,0.11270644914759276,0.06969804338043495,0.052652365262010004,0.05231211073606068,0.07134176915471346,0.04453517197907875,0.048738656674520264,0.04078184054757805,0.04640749956626666,0.030916710621995414,0.036101717527241894,0.0441551651544293,0.04847950525164835,0.040497853469943834,0.04609286120876033,0.031358432943985326,0.03608015305767953,0.06201481707284284,0.05660673630145363,0.06398888996775676,0.05816911947821879,0.0691496437295287,0.06503860158847696,0.005622200738453875,0.07418817062521421
Spain,2012,0.017990035461350584,0.022235872365792497,0.543544964524952,0.0707473858405876,0.03382853989772727,0,0.0032262013213275598,0.08140453847259599,0.06091456986847632,-0.008322076807813827,0.010542413800174621,0.12474848514330028,0.10257698869037424,0.044639007093583594,0.0032262013213275598,-0.2459672483483406,-0.0366447506258194,0.1798696593150163,0.017990035461350584,0.017990035461350584,0.017990035461350584,0.02223587236579261,0.022235872365792386,0.022235872365792386,0.0707473858405877,0.07074738584058748,0.07074738584058748,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.06091456986847632,0.12474848514330028,0.12474848514330028,0.10257698869037424,0.10257698869037424,-0.008322076807813827,-0.008322076807813827,-0.008322076807813827,-0.008322076807813827,-0.008322076807813827,0.044639007093583594,0.044639007093583594,0.044639007093583594,0.044639007093583594,0.044639007093583594,0.044639007093583594,0.044639007093583594,0.010542413800174621,0.010542413800174621,0.010542413800174621,0.010542413800174621,0.010542413800174621,0.08140453847259599,-0.2459672483483406,0.0032262013213275598,0.0032262013213275598,0.1798696593150163,-0.0366447506258194,0.07257786098392793,0.07215334102905502,0.0593536522539152,0.059216343944798466,0.03143922828332535,0.030632509639856642,0.07219199177436797,0.07203552182140616,0.05105169431338208,0.05493963968669069,0.06487698869325642,0.04896343679075221,0.06139085480880868,0.029841156006981118,0.042907992829322006,0.05461849227068705,0.06454548764336132,0.048897342802261656,0.060988769464802695,0.0318869852878193,0.043312818313905765,0.07024968815704113,0.07121738602421979,0.07034243691818998,0.07117474151906211,0.07060575168776673,0.0709716996027665,0.09222386191763765,0.049436470185431514
Finland,2012,0.1756655700335884,0.08480764707377753,-0.17549718731534858,0.04210990106927093,-0.010462762830986572,0,0.004812019105887577,0.16194696345758963,0.06224221064650448,0.17450812133317795,0.008569255438285683,0.018335445574191644,0.04224549026767255,0.03721958955329441,0.004812019105887577,0.004812019105887577,-0.11226891982283149,0.0545714181505933,0.1756655700335884,0.1756655700335884,0.1756655700335884,0.08480764707377764,0.08480764707377753,0.08480764707377753,0.04210990106927104,0.042109901069270816,0.04210990106927093,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.06224221064650448,0.018335445574191644,0.018335445574191644,0.04224549026767255,0.04224549026767255,0.17450812133317795,0.17450812133317795,0.17450812133317795,0.17450812133317795,0.17450812133317795,0.03721958955329441,0.03721958955329441,0.03721958955329441,0.03721958955329441,0.03721958955329441,0.03721958955329441,0.03721958955329441,0.008569255438285683,0.008569255438285683,0.008569255438285683,0.008569255438285683,0.008569255438285683,0.16194696345758963,0.004812019105887577,0.004812019105887577,0.004812019105887577,0.0545714181505933,-0.11226891982283149,0.06181064579050222,0.061855839596693274,0.05854619890573309,0.06002926749593995,0.1255815918834261,0.043330930259459,0.06197829133912047,0.06190648622828587,0.10505698669750585,0.12230751170222842,0.09458459077523318,0.13504577296327547,0.10635000167240183,0.1636536825110969,0.14734592421778148,0.0808435335858344,0.07343233344417976,0.08197519188614877,0.07565931543899285,0.08407155449587866,0.0817097428062794,0.0538717293236628,0.05678967772549759,0.05034855186549281,0.05365308649625,0.04417560516108565,0.04579594996367997,0.03744113323356346,0.06341936151770078
