countries,Year,Territorial GHG emissions,Residential GHG emissions,Transfer GHG emissions,Footprint GHG emissions,GDP,Population,As,Pb,NOx,SOx,NH3,PM2.5,PM10,NMVOC,Cd,Hg,Cr,Ni,GHG: Territorial & Low scenario,GHG: Territorial & Central scenario,GHG: Territorial & High scenario,GHG: Residential & Low scenario,GHG: Residential & Central scenario,GHG: Residential & High scenario,GHG: Footprint & Low scenario,GHG: Footprint & Central scenario,GHG: Footprint & High scenario,Nox (Health - VOLY),Nox (Health - VSL),"Nox (Crops, Forests, Buildings & Ecosystems)",Nox (Crops),Nox (Forests),Nox (Buildings),Nox (Ecosystems),Nox (Total - VOLY),Nox (Total - VSL),PM2.5 (Health - VOLY),PM2.5 (Health - VSL),PM10 (Health - VOLY),PM10 (Health - VSL),SOx (Health - VOLY),SOx (Health - VSL),SOx (Buildings),SOx (Total - VOLY),SOx (Total - VSL),NMVOC (Health - VOLY),NMVOC (Health - VSL),NMVOC (Forests & Crops),NMVOC (Forests),NMVOC (Crops),NMVOC (Total - VOLY),NMVOC (Total - VSL),NH3 (Health - VOLY),NH3 (Health - VSL),NH3 (Ecosystems),NH3 (Total - VOLY),NH3 (Total - VSL),Pb (Total),Hg (Total),Cd (Total),As (Total),Ni (Total),Cr (Total),Health - VOLY (Total),Health - VSL (Total),Crops (Total),Forests (Total),Buildings (Total),Ecosystems (Total),Air Pollutants - VOLY,Air Pollutants - VSL,Heavy Metals (Total),External costs (Territorial & Low GHG with VOLY) scenario,External costs (Territorial & Low GHG with VSL) scenario,External costs (Territorial & Central GHG with VOLY) scenario,External costs (Territorial & Central GHG with VSL) scenario,External costs (Territorial & High GHG with VOLY) scenario,External costs (Territorial & High GHG with VSL) scenario,External costs (Residential & Low GHG with VOLY) scenario,External costs (Residential & Low GHG with VSL) scenario,External costs (Residential & Central GHG with VOLY) scenario,External costs (Residential & Central GHG with VSL) scenario,External costs (Residential & High GHG with VOLY) scenario,External costs (Residential & High GHG with VSL) scenario,External costs (Footprint & Low GHG with VOLY) scenario,External costs (Footprint & Low GHG with VSL) scenario,External costs (Footprint & Central GHG with VOLY) scenario,External costs (Footprint & Central GHG with VSL) scenario,External costs (Footprint & High GHG with VOLY) scenario,External costs (Footprint & High GHG with VSL) scenario,Heavy Metals Emissions,Air Pollutants Emissions
Belgium,2012,0.8194870573172128,0.9313604020399124,2.5579596765153614,1.706860757329257,-1,-0.2519713676728426,0.0,1.0231852962211812,1.8871499252663098,4.020590917868734,0.039519495096669154,-0.42831012399956425,-0.39787307709794656,0.9950692398658181,18.417335331981263,18.417335331981263,2.455644710930835,11.050401199188757,0.8194870573172128,0.8194870573172128,0.8194870573172128,0.9313604020399123,0.9313604020399131,0.9313604020399148,1.7068607573292547,1.70686075732926,1.7068607573292582,1.8871499252663098,1.8871499252663098,1.8871499252663098,1.8871499252663098,1.8871499252663098,1.8871499252663098,1.8871499252663098,1.8871499252663098,1.8871499252663098,-0.42831012399956425,-0.42831012399956425,-0.39787307709794656,-0.39787307709794656,4.020590917868734,4.020590917868734,4.020590917868734,4.020590917868734,4.020590917868734,0.9950692398658181,0.9950692398658181,0.9950692398658181,0.9950692398658181,0.9950692398658181,0.9950692398658181,0.9950692398658181,0.039519495096669154,0.039519495096669154,0.039519495096669154,0.039519495096669154,0.039519495096669154,1.0231852962211812,18.417335331981263,18.417335331981263,0.0,11.050401199188757,2.455644710930835,0.882944175617225,0.9056427581283399,1.126226859310276,0.7978589490668427,3.097032235327186,1.3808793903800678,0.8910888340681647,0.9080881088575733,5.32652271347033,1.1321595419051411,1.0016725253834051,1.083428073622995,0.9892126030230274,0.9227974164653259,0.9203768973048255,1.1615204227852738,1.0137609417846167,1.1250972676085815,1.0080070895432276,1.0064887108581693,0.9765366187813935,1.446990465180364,1.1574562870030056,1.5047615389012519,1.2207140939175032,1.6440537305848504,1.4806036717674138,3.848398427578174,1.3875799579253727
Bulgaria,2012,4.329826089536453,4.093792642390469,15.265930578725824,2.9413312362388737,-1,0.3063814248069125,40.12113102914617,21.884253288625185,9.389068361481874,27.10731519947136,-1.769846226245288,1.2642425896119631,4.566158344709566,1.407868799496402,26.74742068609745,26.74742068609745,26.74742068609745,24.315836987361315,4.329826089536453,4.329826089536453,4.329826089536453,4.093792642390473,4.093792642390467,4.093792642390467,2.9413312362388764,2.9413312362388697,2.94133123623887,9.389068361481874,9.389068361481874,9.389068361481874,9.389068361481874,9.389068361481874,9.389068361481874,9.389068361481874,9.389068361481874,9.389068361481874,1.2642425896119631,1.2642425896119631,4.566158344709566,4.566158344709566,27.10731519947136,27.10731519947136,27.10731519947136,27.10731519947136,27.10731519947136,1.407868799496402,1.407868799496402,1.407868799496402,1.407868799496402,1.407868799496402,1.407868799496402,1.407868799496402,-1.769846226245288,-1.769846226245288,-1.769846226245288,-1.769846226245288,-1.769846226245288,21.884253288625185,26.74742068609745,26.74742068609745,40.12113102914617,24.315836987361315,26.74742068609745,16.178424240645526,15.176567694910375,8.81386869253235,8.91626354399086,25.443516564495408,3.084013362358978,16.24780384510693,15.202348560405033,24.883168273645932,14.897496575801194,14.804676565629244,13.92817763654122,14.447269180513727,9.341848755425332,11.877943890133269,14.585644212039709,14.694587040041156,13.499370955615474,14.276246347317338,8.720508607785447,11.399893809648614,14.574442533646641,14.6912755019521,13.455553249161204,14.267031098276954,8.30703258256444,11.267820436889682,26.24275237126542,18.763929296618358
Cyprus,2012,3.22319967423717,3.7632259016967966,-31.38911186819329,1.8112417818491815,1,-1.4513253066501743,-0.0,-0.0,1.4196349360719758,12.432210298155145,3.037784003486421,11.938432474452133,13.391684332869401,1.4293118591362384,-0.0,-0.0,54.75075820237154,-0.0,3.22319967423717,3.22319967423717,3.22319967423717,3.763225901696795,3.763225901696795,3.7632259016968046,1.8112417818491795,1.8112417818491795,1.8112417818491888,1.4196349360719758,1.4196349360719758,1.4196349360719758,1.4196349360719758,1.4196349360719758,1.4196349360719758,-0.0,1.4196349360719758,1.4196349360719758,11.938432474452133,11.938432474452133,13.391684332869401,13.391684332869401,12.432210298155145,12.432210298155145,12.432210298155145,12.432210298155145,12.432210298155145,1.4293118591362384,1.4293118591362384,1.4293118591362384,-0.0,1.4293118591362384,1.4293118591362384,1.4293118591362384,3.037784003486421,3.037784003486421,-0.0,3.037784003486421,3.037784003486421,-0.0,-0.0,-0.0,-0.0,-0.0,54.75075820237154,8.145514719138482,7.7707819584632665,1.4201580521853485,1.4196349360719758,10.014353228725899,-0.0,8.098395051700974,7.752890397849329,4.775201316067024,5.46730026044484,6.039511191663602,4.891910589308617,5.490709634874034,3.6922146529905366,3.9934100070595555,5.6757019466363685,6.172853378157183,5.173276148755917,5.686620802746534,4.152652082447051,4.4015764544531235,4.546460681242019,5.353686009365201,3.813931094206317,4.6186393203465865,2.3566717847432397,2.7256945885987576,4.97734165476105,6.086898135389689
Czechia,2012,1.9988518503018389,2.0214352563506868,116.33124618950679,2.54009823411397,1,-0.11275101416380906,31.591042949477814,-5.743825990814148,3.0734371762454966,2.7557389472608462,-0.4690394004117113,-0.30356450466394774,0.0464884189807685,1.4726222288476596,-0.0,-0.0,-0.0,9.026012271279374,1.9988518503018389,1.9988518503018389,1.9988518503018389,2.0214352563506863,2.0214352563506863,2.0214352563506837,2.54009823411397,2.5400982341139695,2.540098234113967,3.0734371762454966,3.0734371762454966,3.0734371762454966,3.0734371762454966,3.0734371762454966,3.0734371762454966,3.0734371762454966,3.0734371762454966,3.0734371762454966,-0.30356450466394774,-0.30356450466394774,0.0464884189807685,0.0464884189807685,2.7557389472608462,2.7557389472608462,2.7557389472608462,2.7557389472608462,2.7557389472608462,1.4726222288476596,1.4726222288476596,1.4726222288476596,1.4726222288476596,1.4726222288476596,1.4726222288476596,1.4726222288476596,-0.4690394004117113,-0.4690394004117113,-0.4690394004117113,-0.4690394004117113,-0.4690394004117113,-5.743825990814148,-0.0,-0.0,31.591042949477814,9.026012271279374,-0.0,1.0978885960047073,1.1199538205941715,2.682300221859626,2.6814211942398325,2.840966719840192,1.5924730489633392,1.1269411317393745,1.1289078003339987,-3.383569549371837,1.2260092734536097,1.1690942202711687,1.356498298798281,1.232662012283773,1.759561401682251,1.56457198391906,1.2274935998610033,1.1695395391162786,1.3598003947081096,1.2336211563897381,1.7729326987473644,1.5713670582890686,1.3846484971241704,1.2335490308002168,1.577710021063845,1.3321941777340025,2.1792341560259385,1.8511301598566954,-0.0,1.852767826127676
Germany,2012,0.16286969796485357,-0.6206924536893174,20.852921847171025,2.648269980411218,-1,-0.06866758552249613,-0.0,2.508408125254642,0.17012030975674663,2.492728390439402,-0.4400761722154329,0.7171098743152549,0.748878670704787,0.6722192013697696,-0.0,4.731769872639438,-0.7033711972842408,1.1233698258784277,0.16286969796485357,0.16286969796485357,0.16286969796485357,-0.620692453689318,-0.6206924536893156,-0.6206924536893133,2.648269980411212,2.648269980411219,2.6482699804112166,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.17012030975674663,0.7171098743152549,0.7171098743152549,0.748878670704787,0.748878670704787,2.492728390439402,2.492728390439402,2.492728390439402,2.492728390439402,2.492728390439402,0.6722192013697696,0.6722192013697696,0.6722192013697696,0.6722192013697696,0.6722192013697696,0.6722192013697696,0.6722192013697696,-0.4400761722154329,-0.4400761722154329,-0.4400761722154329,-0.4400761722154329,-0.4400761722154329,2.508408125254642,4.731769872639438,-0.0,-0.0,1.1233698258784277,-0.7033711972842408,0.5764356709460384,0.5648696121466219,0.3805826996349011,0.4033718788342492,1.4567997782238749,-0.12761451983877029,0.5781190067620913,0.5653996353015696,1.756871768534604,0.48317769350696277,0.5280834974801322,0.417669242712611,0.49266502056936445,0.24667703455060383,0.330491880417616,0.15720302245988294,0.3889554930023815,-0.007816833321288071,0.28526688571251635,-0.42402548814150404,-0.17320185139843206,1.5566488836421692,1.000946270753365,1.8060529655093955,1.1917067350563724,2.3914395843631873,1.9724474435259653,1.399863458653721,0.5020609752731875
Denmark,2012,3.0214493870091554,2.5257424254482865,6.246867563585939,3.0215752634627817,-1,-0.13236005966432055,-0.0,2.312968416416594,2.7466277965329877,3.764803413227716,0.7057945713791108,2.043179018762433,1.4939460538409628,1.5092402232972912,-0.0,-0.0,-0.0,-0.0,3.0214493870091554,3.0214493870091554,3.0214493870091554,2.52574242544829,2.525742425448282,2.525742425448286,3.021575263462785,3.0215752634627777,3.0215752634627813,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.7466277965329877,2.043179018762433,2.043179018762433,1.4939460538409628,1.4939460538409628,3.764803413227716,3.764803413227716,3.764803413227716,3.764803413227716,3.764803413227716,1.5092402232972912,1.5092402232972912,1.5092402232972912,1.5092402232972912,1.5092402232972912,1.5092402232972912,1.5092402232972912,0.7057945713791108,0.7057945713791108,0.7057945713791108,0.7057945713791108,0.7057945713791108,2.312968416416594,-0.0,-0.0,-0.0,-0.0,-0.0,1.9842831557030078,2.000985791049485,2.2969637449677585,2.3655860752290048,3.0123431274581667,1.6309887725192147,1.9902620050558546,2.0027788007662246,1.6907985097028493,2.456041476609562,2.237417342034286,2.592500454401763,2.3471449125000277,2.895573540276161,2.7400432710299567,2.292296497117109,2.172731044169491,2.3591117704652356,2.23921994653355,2.4825214144844407,2.4262206594755025,2.6270075748113295,2.379670920282325,2.744387245159671,2.509742978870075,2.9517160677786256,2.8521797349387614,1.609021507072413,1.8666693910615906
Estonia,2012,-0.44432178188476906,0.5363705342511322,17.22019277007381,0.9459045689684912,-1,0.04496244902406625,8.97063095045989,6.11633928440447,0.9858799055245662,5.545637203215851,-0.17616808450323887,7.0279090815993674,6.918650794683609,-0.2175587044132385,-0.0,-0.0,2.691189285137967,3.3639866064224586,-0.44432178188476906,-0.44432178188476906,-0.44432178188476906,0.5363705342511328,0.5363705342511316,0.5363705342511325,0.9459045689684917,0.9459045689684905,0.9459045689684912,0.9858799055245662,0.9858799055245662,0.9858799055245662,0.9858799055245662,0.9858799055245662,0.9858799055245662,0.9858799055245662,0.9858799055245662,0.9858799055245662,7.0279090815993674,7.0279090815993674,6.918650794683609,6.918650794683609,5.545637203215851,5.545637203215851,5.545637203215851,5.545637203215851,5.545637203215851,-0.2175587044132385,-0.2175587044132385,-0.2175587044132385,-0.2175587044132385,-0.2175587044132385,-0.2175587044132385,-0.2175587044132385,-0.17616808450323887,-0.17616808450323887,-0.17616808450323887,-0.17616808450323887,-0.17616808450323887,6.11633928440447,-0.0,-0.0,8.97063095045989,3.3639866064224586,2.691189285137967,5.266822608757807,5.232312453233548,0.8161506022162763,0.8831886670616337,4.839947608150834,0.05596721785561498,4.934677143257041,5.1275881099708345,4.271609219974382,2.3370408548686066,3.426411626142256,1.6950831630805432,2.817761493345078,0.20347753971836108,0.8256149578224009,2.4036326334263074,3.3497312727026123,1.9079962203248357,2.805473478377356,0.9123614795993199,1.310824070282385,2.6030075879600734,3.474184543221088,2.1594922321452295,2.978797903774368,1.2765754135903746,1.6339208615691578,5.045979909633688,4.001302713695725
Greece,2012,0.3988335732355794,0.41290181097579115,-5.30972125323103,1.0183385255233925,1,0.045286111234902136,-6.809808676545457,1.8404888314987724,1.6911366382496742,1.4438221318619953,0.40093051510593614,-0.44453220795734094,0.36971111401863,0.5504491221359313,-0.0,-0.0,-0.0,-0.729622358201299,0.3988335732355794,0.3988335732355794,0.3988335732355794,0.41290181097579065,0.4129018109757919,0.41290181097579187,1.018338525523392,1.0183385255233934,1.0183385255233932,1.6911366382496742,1.6911366382496742,1.6911366382496742,1.6911366382496742,1.6911366382496742,1.6911366382496742,1.6911366382496742,1.6911366382496742,1.6911366382496742,-0.44453220795734094,-0.44453220795734094,0.36971111401863,0.36971111401863,1.4438221318619953,1.4438221318619953,1.4438221318619953,1.4438221318619953,1.4438221318619953,0.5504491221359313,0.5504491221359313,0.5504491221359313,0.5504491221359313,0.5504491221359313,0.5504491221359313,0.5504491221359313,0.40093051510593614,0.40093051510593614,0.40093051510593614,0.40093051510593614,0.40093051510593614,1.8404888314987724,-0.0,-0.0,-6.809808676545457,-0.729622358201299,-0.0,0.7483888328758777,0.7519978052452077,1.479188307276978,1.5135667612785912,1.5752007850577276,0.9913904389901763,0.7600067579686194,0.7553880303268431,1.0137029171210097,0.6498212875919422,0.7068807812179373,0.598872323480282,0.6752368824536957,0.46495978212647693,0.5353427833496032,0.6446629490799856,0.7033629739620766,0.5950173888200693,0.6709658771675121,0.4709558672420886,0.5350500600967083,0.8870957800847789,0.8136847003112292,0.9138924994559104,0.8348930070793424,0.9839462804758572,0.9281416327039926,0.12160372636688316,1.0523409135288937
Spain,2012,0.48244136973926344,0.6211836065079341,17.656126568716317,2.20640603497315,1,-0.10542335884799041,-0.0,2.5546523824018723,1.8850967354382977,-0.37736587026873025,0.2390736400939363,3.971012983814562,3.2465096456930573,1.3532562444163392,-0.0,-8.142954468905968,-1.3028727150249548,5.772220889351066,0.48244136973926344,0.48244136973926344,0.48244136973926344,0.6211836065079367,0.6211836065079303,0.6211836065079305,2.2064060349731522,2.2064060349731465,2.206406034973147,1.8850967354382977,1.8850967354382977,1.8850967354382977,1.8850967354382977,1.8850967354382977,1.8850967354382977,1.8850967354382977,1.8850967354382977,1.8850967354382977,3.971012983814562,3.971012983814562,3.2465096456930573,3.2465096456930573,-0.37736587026873025,-0.37736587026873025,-0.37736587026873025,-0.37736587026873025,-0.37736587026873025,1.3532562444163392,1.3532562444163392,1.3532562444163392,1.3532562444163392,1.3532562444163392,1.3532562444163392,1.3532562444163392,0.2390736400939363,0.2390736400939363,0.2390736400939363,0.2390736400939363,0.2390736400939363,2.5546523824018723,-8.142954468905968,-0.0,-0.0,5.772220889351066,-1.3028727150249548,2.2662209128057857,2.252348771831557,1.834090254000152,1.829603397259646,0.9219238879918628,0.89556254827089,2.2536117715600352,2.2484987651611585,1.56280517165891,1.6898525005289655,2.0145776512476523,1.4945666768322323,1.9006604133298872,0.8697032947076395,1.296691473722755,1.6793582889443865,2.003745111470747,1.4924069076261774,1.887521373546957,0.9365553516421369,1.309920053740357,2.1901426477060615,2.2217643443539448,2.19317342134832,2.22037083957158,2.2017778215943804,2.2137359898920774,2.9081980246092742,1.5100241031821289
Finland,2012,11.18533486329196,5.237104418150556,-11.804371883434895,2.441794725287972,-1,-0.31503029802809096,-0.0,10.28721359172858,3.7598043479741787,11.109559725866518,0.24597643016610765,0.8853433406900376,2.4506713952765775,2.121638828059018,-0.0,-0.0,-7.664982676189923,3.2576176373807177,11.18533486329196,11.18533486329196,11.18533486329196,5.237104418150562,5.237104418150558,5.23710441815056,2.441794725287977,2.4417947252879686,2.4417947252879704,3.7598043479741787,3.7598043479741787,3.7598043479741787,3.7598043479741787,3.7598043479741787,3.7598043479741787,3.7598043479741787,3.7598043479741787,3.7598043479741787,0.8853433406900376,0.8853433406900376,2.4506713952765775,2.4506713952765775,11.109559725866518,11.109559725866518,11.109559725866518,11.109559725866518,11.109559725866518,2.121638828059018,2.121638828059018,2.121638828059018,2.121638828059018,2.121638828059018,2.121638828059018,2.121638828059018,0.24597643016610765,0.24597643016610765,0.24597643016610765,0.24597643016610765,0.24597643016610765,10.28721359172858,-0.0,-0.0,-0.0,3.2576176373807177,-7.664982676189923,3.731550926237234,3.7345096464584397,3.517836131599906,3.6149287510779398,7.9064678812857,2.5217323109919283,3.7425262415845233,3.737825348888888,6.562775691718486,7.692122419941084,5.877175336469435,8.526063049253528,6.647425998363753,10.39894802175585,9.331321762951607,4.977584281998982,4.492392403497361,5.051670989422447,4.638187086787538,5.188914363396194,5.034292732831525,3.2118108409353052,3.402841286665646,2.9811576327435176,3.197496867202886,2.577030966325759,2.683110700183219,2.136142713036536,3.836869334961296
