countries,Year,Territorial GHG emissions,Residential GHG emissions,Transfer GHG emissions,Footprint GHG emissions,GDP,Population,As,Pb,NOx,SOx,NH3,PM2.5,PM10,NMVOC,Cd,Hg,Cr,Ni,GHG: Territorial & Low scenario,GHG: Territorial & Central scenario,GHG: Territorial & High scenario,GHG: Residential & Low scenario,GHG: Residential & Central scenario,GHG: Residential & High scenario,GHG: Footprint & Low scenario,GHG: Footprint & Central scenario,GHG: Footprint & High scenario,Nox (Health - VOLY),Nox (Health - VSL),"Nox (Crops, Forests, Buildings & Ecosystems)",Nox (Crops),Nox (Forests),Nox (Buildings),Nox (Ecosystems),Nox (Total - VOLY),Nox (Total - VSL),PM2.5 (Health - VOLY),PM2.5 (Health - VSL),PM10 (Health - VOLY),PM10 (Health - VSL),SOx (Health - VOLY),SOx (Health - VSL),SOx (Buildings),SOx (Total - VOLY),SOx (Total - VSL),NMVOC (Health - VOLY),NMVOC (Health - VSL),NMVOC (Forests & Crops),NMVOC (Forests),NMVOC (Crops),NMVOC (Total - VOLY),NMVOC (Total - VSL),NH3 (Health - VOLY),NH3 (Health - VSL),NH3 (Ecosystems),NH3 (Total - VOLY),NH3 (Total - VSL),Pb (Total),Hg (Total),Cd (Total),As (Total),Ni (Total),Cr (Total),Health - VOLY (Total),Health - VSL (Total),Crops (Total),Forests (Total),Buildings (Total),Ecosystems (Total),Air Pollutants - VOLY,Air Pollutants - VSL,Heavy Metals (Total),External costs (Territorial & Low GHG with VOLY) scenario,External costs (Territorial & Low GHG with VSL) scenario,External costs (Territorial & Central GHG with VOLY) scenario,External costs (Territorial & Central GHG with VSL) scenario,External costs (Territorial & High GHG with VOLY) scenario,External costs (Territorial & High GHG with VSL) scenario,External costs (Residential & Low GHG with VOLY) scenario,External costs (Residential & Low GHG with VSL) scenario,External costs (Residential & Central GHG with VOLY) scenario,External costs (Residential & Central GHG with VSL) scenario,External costs (Residential & High GHG with VOLY) scenario,External costs (Residential & High GHG with VSL) scenario,External costs (Footprint & Low GHG with VOLY) scenario,External costs (Footprint & Low GHG with VSL) scenario,External costs (Footprint & Central GHG with VOLY) scenario,External costs (Footprint & Central GHG with VSL) scenario,External costs (Footprint & High GHG with VOLY) scenario,External costs (Footprint & High GHG with VSL) scenario,Heavy Metals Emissions,Air Pollutants Emissions
Belgium,2012,3.252302294843387,3.696294585538713,10.151787086525614,6.774026640778605,-3.968704893876637,-1,0.0,4.060720492455618,7.489541143883334,15.956538852021607,0.15684121359368464,-1.69983648521398,-1.579040828220377,3.9491361620015777,73.09296886420114,73.09296886420114,9.745729181893486,43.855781318520684,3.252302294843387,3.252302294843387,3.252302294843387,3.6962945855387126,3.6962945855387153,3.696294585538722,6.7740266407785965,6.774026640778618,6.774026640778611,7.489541143883334,7.489541143883334,7.489541143883334,7.489541143883334,7.489541143883334,7.489541143883334,7.489541143883334,7.489541143883334,7.489541143883334,-1.69983648521398,-1.69983648521398,-1.579040828220377,-1.579040828220377,15.956538852021607,15.956538852021607,15.956538852021607,15.956538852021607,15.956538852021607,3.9491361620015777,3.9491361620015777,3.9491361620015777,3.9491361620015777,3.9491361620015777,3.9491361620015777,3.9491361620015777,0.15684121359368464,0.15684121359368464,0.15684121359368464,0.15684121359368464,0.15684121359368464,4.060720492455618,73.09296886420114,73.09296886420114,0.0,43.855781318520684,9.745729181893486,3.504144870791954,3.594228846287878,4.469662048160008,3.1664667157848494,12.291206988836706,5.480302794454762,3.536468616645152,3.6039337216942315,21.139396760294762,4.493207114608065,3.97534265355089,4.299806297950918,3.9258928987019357,3.662310622782656,3.6527042965446563,4.609731786245577,4.023318010881597,4.46517903204541,4.000482669332553,3.9944566724144037,3.87558565800746,5.742678140554142,4.59360243067711,5.971954483554738,4.84465399855458,6.524764086368237,5.876079038035054,15.273157673116655,5.506895369663566
Bulgaria,2012,14.132142940014045,13.361752087191503,49.826553905305154,9.600227031036747,-3.2639054427996714,1,130.95157793730897,71.42813342035035,30.645031327858877,88.47571361924082,-5.776610730760455,4.126368269253638,14.903509073982693,4.595150637424146,87.30105195820599,87.30105195820599,87.30105195820599,79.36459268927817,14.132142940014045,14.132142940014045,14.132142940014045,13.361752087191512,13.361752087191492,13.361752087191492,9.600227031036756,9.600227031036733,9.600227031036734,30.645031327858877,30.645031327858877,30.645031327858877,30.645031327858877,30.645031327858877,30.645031327858877,30.645031327858877,30.645031327858877,30.645031327858877,4.126368269253638,4.126368269253638,14.903509073982693,14.903509073982693,88.47571361924082,88.47571361924082,88.47571361924082,88.47571361924082,88.47571361924082,4.595150637424146,4.595150637424146,4.595150637424146,4.595150637424146,4.595150637424146,4.595150637424146,4.595150637424146,-5.776610730760455,-5.776610730760455,-5.776610730760455,-5.776610730760455,-5.776610730760455,71.42813342035035,87.30105195820599,87.30105195820599,130.95157793730897,79.36459268927817,87.30105195820599,52.80484693496508,49.534881902435636,28.767633997677965,29.101841110668058,83.04523219882016,10.065927999070384,53.03129540358594,49.61902820964374,81.21630836245306,48.624020157846985,48.32106442144603,45.46025479618755,47.1545205118707,30.490910998644075,38.76848571227508,47.60616353041593,47.96174261968385,44.060670336405146,46.59631815575799,28.462915508932305,37.208175452650394,47.569602311340304,47.95093407249094,43.91765348581806,46.56624045425832,27.113368859746288,36.77710045245361,85.65386229861718,61.24369095954087
Cyprus,2012,2.2208664449438187,2.592958232350233,-21.627895361821373,1.2479915933042853,0.6890254000380625,-1,-0.0,-0.0,0.9781645297350022,8.566108674043669,2.093110338231458,8.225883211536777,9.227210654638792,0.9848321755204934,-0.0,-0.0,37.72466307277628,-0.0,2.2208664449438187,2.2208664449438187,2.2208664449438187,2.5929582323502323,2.5929582323502323,2.592958232350239,1.247991593304284,1.247991593304284,1.2479915933042902,0.9781645297350022,0.9781645297350022,0.9781645297350022,0.9781645297350022,0.9781645297350022,0.9781645297350022,-0.0,0.9781645297350022,0.9781645297350022,8.225883211536777,8.225883211536777,9.227210654638792,9.227210654638792,8.566108674043669,8.566108674043669,8.566108674043669,8.566108674043669,8.566108674043669,0.9848321755204934,0.9848321755204934,0.9848321755204934,-0.0,0.9848321755204934,0.9848321755204934,0.9848321755204934,2.093110338231458,2.093110338231458,-0.0,2.093110338231458,2.093110338231458,-0.0,-0.0,-0.0,-0.0,-0.0,37.72466307277628,5.612466537870318,5.35426614753871,0.9785249700242853,0.9781645297350022,6.9001437395453245,-0.0,5.57999989016453,5.341938407829387,3.2902349970653635,3.7671087490812085,4.161376614870369,3.370650650748803,3.7832384026619246,2.5440296783032004,2.7515609276302118,3.9107028042779333,4.253252768261058,3.564518667903913,3.918226173477198,2.861282762326972,3.0327979773276796,3.132626889650104,3.6888256442810357,2.6278953979031128,3.1823598053333315,1.6238067192411252,1.8780728042908408,3.4295148247978435,4.1940274227278165
Czechia,2012,17.728016595911313,17.928311078549296,1031.7534352329303,22.528384803915078,8.869099825099232,-1,280.184113497916,-50.94256609053018,27.25862112229241,24.44092381517031,-4.159957264156158,-2.692343895221354,0.41231042865147366,13.060833552310017,-0.0,-0.0,-0.0,80.05260385654742,17.728016595911313,17.728016595911313,17.728016595911313,17.928311078549292,17.928311078549292,17.92831107854927,22.528384803915078,22.528384803915074,22.52838480391505,27.25862112229241,27.25862112229241,27.25862112229241,27.25862112229241,27.25862112229241,27.25862112229241,27.25862112229241,27.25862112229241,27.25862112229241,-2.692343895221354,-2.692343895221354,0.41231042865147366,0.41231042865147366,24.44092381517031,24.44092381517031,24.44092381517031,24.44092381517031,24.44092381517031,13.060833552310017,13.060833552310017,13.060833552310017,13.060833552310017,13.060833552310017,13.060833552310017,13.060833552310017,-4.159957264156158,-4.159957264156158,-4.159957264156158,-4.159957264156158,-4.159957264156158,-50.94256609053018,-0.0,-0.0,280.184113497916,80.05260385654742,-0.0,9.73728355480379,9.932982234350982,23.78958842855884,23.78179224484987,25.196817438047383,14.123802440035991,9.994953394406817,10.012395974495428,-30.009216098544844,10.873598632757446,10.368813344531544,12.030918824619238,10.932602437552479,15.60572571991141,13.876345108931693,10.88676327183765,10.372762921822822,12.060205442875562,10.94110918237494,15.72431708837296,13.936611301838274,12.280585743667894,10.94046949332153,13.992867671874654,11.815363148738857,19.327845272059925,16.417858177020932,-0.0,16.432382802658456
Germany,2012,2.371857066555747,-9.039089534988422,303.6792642190603,38.56652247578474,-14.562911924031328,-1,-0.0,36.52972659760789,2.477447087476429,36.30138400050139,-6.408790535838192,10.443207939506232,10.905854123259473,9.789469023190634,-0.0,68.90834790003306,-10.243132795950862,16.35953583238195,2.371857066555747,2.371857066555747,2.371857066555747,-9.039089534988433,-9.039089534988397,-9.039089534988362,38.56652247578466,38.56652247578475,38.56652247578472,2.477447087476429,2.477447087476429,2.477447087476429,2.477447087476429,2.477447087476429,2.477447087476429,2.477447087476429,2.477447087476429,2.477447087476429,10.443207939506232,10.443207939506232,10.905854123259473,10.905854123259473,36.30138400050139,36.30138400050139,36.30138400050139,36.30138400050139,36.30138400050139,9.789469023190634,9.789469023190634,9.789469023190634,9.789469023190634,9.789469023190634,9.789469023190634,9.789469023190634,-6.408790535838192,-6.408790535838192,-6.408790535838192,-6.408790535838192,-6.408790535838192,36.52972659760789,68.90834790003306,-0.0,-0.0,16.35953583238195,-10.243132795950862,8.394581905857061,8.226146410252992,5.542392334593135,5.874269144094208,21.21524686122266,-1.8584390126395602,8.419096177084807,8.233865090776192,25.585168826986592,7.036474194198503,7.690433462337586,6.082480395000618,7.174637302602737,3.5923359278416767,4.8129241461292365,2.289333770274794,5.664324586961866,-0.11383585518275145,4.154316531474086,-6.175045837349114,-2.5223233069945286,22.6693405891226,14.57669238166887,26.30139026684892,17.354720221900887,34.826324038723186,28.72457839484939,20.38608825404401,7.311469763396699
Denmark,2012,22.827500944558945,19.0823608863115,47.19601652816319,22.828451959947916,-7.555149208425172,-1,-0.0,17.474821500402253,20.751182822814776,28.443651527323766,5.332383297265673,15.436522346273916,11.28698534610646,11.402535078367961,-0.0,-0.0,-0.0,-0.0,22.827500944558945,22.827500944558945,22.827500944558945,19.082360886311523,19.082360886311463,19.082360886311495,22.82845195994794,22.828451959947888,22.828451959947913,20.751182822814776,20.751182822814776,20.751182822814776,20.751182822814776,20.751182822814776,20.751182822814776,20.751182822814776,20.751182822814776,20.751182822814776,15.436522346273916,15.436522346273916,11.28698534610646,11.28698534610646,28.443651527323766,28.443651527323766,28.443651527323766,28.443651527323766,28.443651527323766,11.402535078367961,11.402535078367961,11.402535078367961,11.402535078367961,11.402535078367961,11.402535078367961,11.402535078367961,5.332383297265673,5.332383297265673,5.332383297265673,5.332383297265673,5.332383297265673,17.474821500402253,-0.0,-0.0,-0.0,-0.0,-0.0,14.991555313100983,15.117746215317535,17.35390381957448,17.872355763728027,22.758701794920576,12.322363533648888,15.036726412056437,15.13129267125966,12.774235022187943,18.555759817866125,16.90402186058709,19.58672775591538,17.733030027733754,21.876490140754314,20.7014357501727,17.318642065670122,16.41530722847793,17.823441425216934,16.917640806542806,18.755819699540663,18.33045909490114,19.84743419936275,17.978768869683407,20.734255122880228,18.96148268016088,22.300655312973547,21.548643466708903,12.156397565497219,14.102965772270474
Estonia,2012,-9.882063622623065,11.929299802242504,382.99054308311065,21.03765674468029,-22.24078140104752,1,199.51384199864955,136.03216499907924,21.92673946645726,123.3393047662403,-3.918115857277803,156.30618959028817,153.87619991474187,-4.83867558674995,-0.0,-0.0,59.854152599594876,74.8176907494936,-9.882063622623065,-9.882063622623065,-9.882063622623065,11.929299802242516,11.92929980224249,11.92929980224251,21.037656744680305,21.037656744680277,21.03765674468029,21.92673946645726,21.92673946645726,21.92673946645726,21.92673946645726,21.92673946645726,21.92673946645726,21.92673946645726,21.92673946645726,21.92673946645726,156.30618959028817,156.30618959028817,153.87619991474187,153.87619991474187,123.3393047662403,123.3393047662403,123.3393047662403,123.3393047662403,123.3393047662403,-4.83867558674995,-4.83867558674995,-4.83867558674995,-4.83867558674995,-4.83867558674995,-4.83867558674995,-4.83867558674995,-3.918115857277803,-3.918115857277803,-3.918115857277803,-3.918115857277803,-3.918115857277803,136.03216499907924,-0.0,-0.0,199.51384199864955,74.8176907494936,59.854152599594876,117.13825031947722,116.37071749434602,18.151827134225492,19.642806080000337,107.64421674540552,1.2447546579515363,109.7510756279255,114.04156626847175,95.00392689214935,51.977614778449905,76.20607196703769,37.69997408667055,62.669217413777105,4.525499480899033,18.362321798363087,53.4586679684587,74.50064098843151,42.435326850269576,62.395922359027196,20.291632226504753,29.153751602381877,57.89292274908797,77.26857897267836,48.02879467240222,66.2507930157443,28.39203471561535,36.33967670877087,112.22653612424038,88.99209897472484
Greece,2012,8.806973316096904,9.117625685147514,-117.24833748009726,22.486773488701676,22.081825370540916,1,-150.37300600227113,40.64135297358679,37.34338392355293,31.882228181898675,8.853277620290298,-9.81608258769498,8.16389625730753,12.154921390373183,-0.0,-0.0,-0.0,-16.111393500243334,8.806973316096904,8.806973316096904,8.806973316096904,9.117625685147503,9.11762568514753,9.11762568514753,22.486773488701665,22.486773488701694,22.48677348870169,37.34338392355293,37.34338392355293,37.34338392355293,37.34338392355293,37.34338392355293,37.34338392355293,37.34338392355293,37.34338392355293,37.34338392355293,-9.81608258769498,-9.81608258769498,8.16389625730753,8.16389625730753,31.882228181898675,31.882228181898675,31.882228181898675,31.882228181898675,31.882228181898675,12.154921390373183,12.154921390373183,12.154921390373183,12.154921390373183,12.154921390373183,12.154921390373183,12.154921390373183,8.853277620290298,8.853277620290298,8.853277620290298,8.853277620290298,8.853277620290298,40.64135297358679,-0.0,-0.0,-150.37300600227113,-16.111393500243334,-0.0,16.52579151682806,16.605484214454712,32.66317789143624,33.42231690920904,34.783308659183696,21.89171054780497,16.78233650989401,16.680346572674214,22.384410793474046,14.349240194665315,15.60921796864603,13.224194066341674,14.910462922090971,10.267160713241614,11.821345855305255,14.235334664442151,15.531538363134892,13.139070072360012,14.816151329204807,10.399565217671451,11.814881991552934,19.588694102775854,17.967643458953482,20.180414580432572,18.43596158541182,21.72732993946115,20.49506145249829,2.685232250040556,23.237608282820528
Spain,2012,4.5762284090653385,5.89227675247586,167.47831563756785,20.929005289563577,9.485563834499873,-1,-0.0,24.23231824823014,17.881205418207294,-3.5795280513956387,2.267748274257281,37.66729714560084,30.79497448354106,12.836398490846747,-0.0,-77.24051441623357,-12.358482306597372,54.752769712773166,4.5762284090653385,4.5762284090653385,4.5762284090653385,5.892276752475884,5.892276752475824,5.8922767524758255,20.929005289563598,20.92900528956354,20.929005289563545,17.881205418207294,17.881205418207294,17.881205418207294,17.881205418207294,17.881205418207294,17.881205418207294,17.881205418207294,17.881205418207294,17.881205418207294,37.66729714560084,37.66729714560084,30.79497448354106,30.79497448354106,-3.5795280513956387,-3.5795280513956387,-3.5795280513956387,-3.5795280513956387,-3.5795280513956387,12.836398490846747,12.836398490846747,12.836398490846747,12.836398490846747,12.836398490846747,12.836398490846747,12.836398490846747,2.267748274257281,2.267748274257281,2.267748274257281,2.267748274257281,2.267748274257281,24.23231824823014,-77.24051441623357,-0.0,-0.0,54.752769712773166,-12.358482306597372,21.496383131497854,21.36479805276562,17.397380182552528,17.354819816524202,8.744967890097126,8.494915719410901,21.37677831731306,21.32827856873031,14.824088216657124,16.029203764656735,19.10940491046643,14.176807618008482,18.02883567834756,8.24962611902417,12.29984974764891,15.929660250778461,19.006652162922837,14.156320989336661,17.90420447776254,8.883755572543965,12.42533028784566,20.774737891476413,21.074687513585104,20.803486488327977,21.0614693350183,20.885104076119568,20.998534044851066,27.585898005797706,14.323430022367507
Finland,2012,35.50558448919276,16.624129332739827,-37.47059237579209,7.750983764330628,-3.174297857251911,-1,-0.0,32.65468006131677,11.934738885460854,35.265051632830215,0.7808024552107499,2.8103434692846347,7.779160958854991,6.734713585770197,-0.0,-0.0,-24.33093808490269,10.340648686083645,35.50558448919276,35.50558448919276,35.50558448919276,16.624129332739845,16.624129332739834,16.624129332739837,7.750983764330644,7.750983764330616,7.7509837643306225,11.934738885460854,11.934738885460854,11.934738885460854,11.934738885460854,11.934738885460854,11.934738885460854,11.934738885460854,11.934738885460854,11.934738885460854,2.8103434692846347,2.8103434692846347,7.779160958854991,7.779160958854991,35.265051632830215,35.265051632830215,35.265051632830215,35.265051632830215,35.265051632830215,6.734713585770197,6.734713585770197,6.734713585770197,6.734713585770197,6.734713585770197,6.734713585770197,6.734713585770197,0.7808024552107499,0.7808024552107499,0.7808024552107499,0.7808024552107499,0.7808024552107499,32.65468006131677,-0.0,-0.0,-0.0,10.340648686083645,-24.33093808490269,11.845054109381236,11.854445968639617,11.166659694700932,11.47486058866503,25.097484053996254,8.004729471344588,11.879893029370798,11.864970995759874,20.832204815846918,24.417087715338365,18.655905077248704,27.064263668040166,21.100910102846704,33.00935842313359,29.62039467746541,15.800335120640158,14.260191580356434,16.035508397265314,14.722987331123166,16.4711597451922,15.980344634605977,10.195244270279398,10.801631804831096,9.463082285747927,10.14980745413182,8.180263874479678,8.516992546361267,6.78075323677616,12.179366108523206
