freq,unit,airpol,src_nfr,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,T,NOX,NFR11B,EU27_2020	32744 	29925 	21277 	14713 	42768 	19644 	10933 	11795 	20333 	12031 	29705 	13021 	17168 	38761 	19516 	37699 	23099 	11658 	6835 	15730 	12348 	13155 	30961 	12750 	6066 	14282 	14911 	47885 	6086 	10954 	10926 	18696 
A,T,NOX,NFR11C,EU27_2020	39245 	24010 	23535 	38611 	31193 	12499 	14190 	22336 	32413 	16201 	25922 	17623 	12094 	21344 	16227 	13090 	12583 	46858 	19332 	23274 	15758 	21477 	34182 	6889 	12064 	8449 	8900 	22476 	4756 	5997 	7690 	19315 
A,T,NOX,NFR1A1A,EU27_2020	2979904 	2917031 	2788000 	2515565 	2358668 	2256555 	2222538 	2062658 	1900405 	1814165 	1788968 	1768901 	1816417 	1858549 	1806220 	1808061 	1750343 	1719169 	1484333 	1352516 	1309065 	1312783 	1284848 	1169652 	1084561 	1054019 	948242 	917605 	834573 	725608 	628913 	670103 
A,T,NOX,NFR1A1B,EU27_2020	191169 	181955 	177043 	173315 	178118 	173237 	175521 	169746 	165449 	158413 	156962 	155065 	149725 	148053 	149063 	141215 	143997 	140921 	132726 	119832 	116665 	109411 	104636 	94627 	86049 	88413 	86761 	82080 	78464 	73691 	65384 	63082 
A,T,NOX,NFR1A1C,EU27_2020	183824 	171658 	152871 	146511 	134653 	107292 	101593 	108379 	98821 	89207 	82211 	77083 	78637 	76469 	78787 	77233 	80539 	77542 	73706 	58913 	65564 	61698 	55660 	53348 	52748 	49477 	47437 	47140 	46452 	44879 	39103 	38583 
A,T,NOX,NFR1A2A,EU27_2020	280422 	256569 	219283 	206916 	210635 	209619 	195980 	193464 	181115 	165328 	134981 	125514 	123238 	126611 	126287 	122566 	121648 	113985 	108895 	71037 	83905 	82516 	77378 	71236 	71864 	72099 	70445 	72045 	69016 	61781 	57804 	61439 
A,T,NOX,NFR1A2B,EU27_2020	24898 	28117 	26425 	23164 	25333 	25902 	27919 	30709 	30337 	29103 	30071 	31017 	29995 	30126 	31606 	29760 	27893 	26783 	24705 	20523 	20720 	18781 	16329 	14187 	14023 	13825 	14066 	13936 	12851 	13354 	12774 	14300 
A,T,NOX,NFR1A2C,EU27_2020	229821 	227653 	197589 	178288 	165142 	175992 	166236 	156013 	141916 	128874 	117974 	121039 	112262 	113517 	114531 	117666 	114755 	108987 	107823 	94305 	95022 	88335 	83061 	76952 	72744 	67977 	65314 	65763 	66271 	64889 	63314 	65098 
A,T,NOX,NFR1A2D,EU27_2020	80358 	85928 	81837 	83903 	88524 	86768 	84120 	84098 	82687 	81626 	80605 	77199 	75188 	76707 	74600 	73205 	76180 	72365 	70705 	64743 	70701 	65983 	64642 	63344 	60513 	60099 	61589 	63355 	61330 	63924 	58097 	58550 
A,T,NOX,NFR1A2E,EU27_2020	90972 	98334 	93016 	88795 	91107 	95657 	95137 	86439 	84010 	79773 	73638 	72911 	72984 	70956 	68563 	69139 	61726 	57895 	54298 	49625 	48378 	45451 	47867 	48261 	47694 	46473 	49139 	48857 	48605 	46005 	43011 	44154 
A,T,NOX,NFR1A2F,EU27_2020	459418 	451420 	438357 	399609 	414073 	412391 	409752 	407422 	406448 	410289 	422271 	421827 	413641 	406415 	410790 	410598 	413210 	421645 	374636 	308456 	296759 	282555 	251322 	230302 	227860 	219742 	215061 	203279 	206463 	204335 	194268 	201175 
A,T,NOX,NFR1A2G7,EU27_2020	266164 	269415 	268379 	248076 	238570 	244360 	263804 	253962 	294125 	286128 	280258 	289248 	296971 	287303 	272136 	258244 	246151 	234900 	210775 	178047 	162211 	157463 	143010 	128792 	124497 	117657 	111196 	106863 	101704 	93003 	85996 	84091 
A,T,NOX,NFR1A2G8,EU27_2020	434207 	401908 	317468 	280874 	256201 	257494 	251678 	250007 	230711 	209845 	196005 	195681 	187737 	188078 	177622 	189287 	181111 	186010 	183444 	163905 	170295 	158635 	150363 	141869 	137904 	137979 	142326 	144190 	140612 	136409 	136650 	140155 
A,T,NOX,NFR1A3A1_1,EU27_2020	20641 	20387 	21945 	22450 	23424 	24587 	25280 	26147 	27778 	29966 	32469 	32255 	31405 	32864 	34817 	36602 	38564 	41263 	42248 	39316 	40640 	42420 	42490 	42579 	44530 	46885 	50089 	53255 	56435 	58326 	24064 	29166 
A,T,NOX,NFR1A3A1_2,EU27_2020	176004 	172328 	183704 	191890 	199626 	211498 	221446 	232845 	249263 	273911 	290819 	289468 	279063 	288830 	305444 	335918 	353981 	376959 	383266 	359142 	367804 	373005 	377814 	383021 	395606 	405952 	436465 	471863 	502010 	515486 	214829 	260234 
A,T,NOX,NFR1A3A2_1,EU27_2020	10853 	10757 	11197 	10885 	11035 	11475 	11796 	12232 	12792 	13449 	14077 	13779 	13497 	13486 	13556 	13553 	13731 	14271 	14000 	13726 	13433 	13212 	12495 	11291 	11222 	11436 	12087 	12456 	12792 	12822 	6370 	7953 
A,T,NOX,NFR1A3A2_2,EU27_2020	34571 	34764 	36384 	35511 	36315 	38528 	40336 	41876 	43846 	46559 	48743 	47197 	46509 	46308 	47184 	47144 	47148 	49129 	49050 	47836 	47788 	47492 	44788 	40942 	40514 	40803 	42488 	43436 	44628 	45645 	23525 	28214 
A,T,NOX,NFR1A3B1,EU27_2020	3392013 	3339093 	3351927 	3186760 	3016072 	2875777 	2752465 	2568040 	2423858 	2276503 	2063690 	1948317 	1871783 	1802901 	1746446 	1642999 	1586319 	1549181 	1493373 	1448511 	1413116 	1372172 	1315675 	1311861 	1349958 	1360788 	1361103 	1342922 	1265372 	1196538 	952065 	980761 
A,T,NOX,NFR1A3B2,EU27_2020	490879 	494745 	494002 	501849 	502160 	493206 	498064 	494039 	500124 	497401 	490134 	485390 	471746 	473083 	474758 	467082 	466997 	466870 	440974 	418737 	406469 	405379 	393962 	383715 	399160 	408983 	421547 	426486 	418932 	408453 	353287 	371409 
A,T,NOX,NFR1A3B3,EU27_2020	2296765 	2318668 	2393592 	2370338 	2348813 	2332692 	2346659 	2351904 	2420728 	2425965 	2392942 	2388937 	2324139 	2279108 	2302824 	2281855 	2278103 	2183528 	1987857 	1791305 	1691709 	1609287 	1503938 	1393218 	1288785 	1192008 	1093474 	1020024 	906122 	818805 	690250 	650409 
A,T,NOX,NFR1A3B4,EU27_2020	15115 	15674 	16816 	17559 	17989 	17829 	17609 	18156 	19438 	20810 	20691 	22222 	23314 	24903 	25733 	24182 	24152 	23578 	23502 	22356 	21777 	20656 	19943 	18792 	19027 	18332 	17480 	16834 	15465 	14899 	12605 	13050 
A,T,NOX,NFR1A3C,EU27_2020	205599 	183296 	183022 	175006 	167544 	163369 	154487 	150747 	143232 	133618 	136364 	120349 	119635 	117347 	114960 	102667 	99637 	102288 	97743 	85415 	84690 	84200 	79075 	73005 	65093 	63204 	59724 	57842 	55238 	53432 	47647 	48603 
A,T,NOX,NFR1A3D1_1,EU27_2020	1200544 	1127612 	1177386 	1221629 	1200867 	1239468 	1292716 	1401835 	1485695 	1465434 	1549738 	1543725 	1517605 	1618410 	1679741 	1686478 	1800523 	1830315 	1791288 	1658415 	1653757 	1628336 	1532990 	1421866 	1395653 	1367682 	1430065 	1403262 	1387525 	1396209 	1183709 	1254592 
A,T,NOX,NFR1A3D1_2,EU27_2020	31213 	48584 	46293 	44453 	44058 	44878 	42504 	28568 	29358 	23213 	28634 	32423 	31866 	33336 	30853 	30215 	29513 	26125 	31115 	33499 	27066 	25758 	25927 	27895 	26920 	27086 	26006 	26748 	26580 	23806 	24135 	24085 
A,T,NOX,NFR1A3D2,EU27_2020	352724 	367120 	360816 	335497 	327587 	308756 	317124 	317197 	332066 	318679 	275363 	285145 	278614 	284478 	279310 	274629 	272289 	259799 	252434 	260262 	247467 	231650 	216777 	200475 	197511 	201432 	205753 	203644 	215727 	223439 	215414 	197961 
