countries,Year,Territorial GHG emissions,Residential GHG emissions,Transfer GHG emissions,Footprint GHG emissions,GDP,Population,As,Pb,NOx,SOx,NH3,PM2.5,PM10,NMVOC,Cd,Hg,Cr,Ni,GHG: Territorial & Low scenario,GHG: Territorial & Central scenario,GHG: Territorial & High scenario,GHG: Residential & Low scenario,GHG: Residential & Central scenario,GHG: Residential & High scenario,GHG: Footprint & Low scenario,GHG: Footprint & Central scenario,GHG: Footprint & High scenario,Nox (Health - VOLY),Nox (Health - VSL),"Nox (Crops, Forests, Buildings & Ecosystems)",Nox (Crops),Nox (Forests),Nox (Buildings),Nox (Ecosystems),Nox (Total - VOLY),Nox (Total - VSL),PM2.5 (Health - VOLY),PM2.5 (Health - VSL),PM10 (Health - VOLY),PM10 (Health - VSL),SOx (Health - VOLY),SOx (Health - VSL),SOx (Buildings),SOx (Total - VOLY),SOx (Total - VSL),NMVOC (Health - VOLY),NMVOC (Health - VSL),NMVOC (Forests & Crops),NMVOC (Forests),NMVOC (Crops),NMVOC (Total - VOLY),NMVOC (Total - VSL),NH3 (Health - VOLY),NH3 (Health - VSL),NH3 (Ecosystems),NH3 (Total - VOLY),NH3 (Total - VSL),Pb (Total),Hg (Total),Cd (Total),As (Total),Ni (Total),Cr (Total),Health - VOLY (Total),Health - VSL (Total),Crops (Total),Forests (Total),Buildings (Total),Ecosystems (Total),Air Pollutants - VOLY,Air Pollutants - VSL,Heavy Metals (Total),External costs (Territorial & Low GHG with VOLY) scenario,External costs (Territorial & Low GHG with VSL) scenario,External costs (Territorial & Central GHG with VOLY) scenario,External costs (Territorial & Central GHG with VSL) scenario,External costs (Territorial & High GHG with VOLY) scenario,External costs (Territorial & High GHG with VSL) scenario,External costs (Residential & Low GHG with VOLY) scenario,External costs (Residential & Low GHG with VSL) scenario,External costs (Residential & Central GHG with VOLY) scenario,External costs (Residential & Central GHG with VSL) scenario,External costs (Residential & High GHG with VOLY) scenario,External costs (Residential & High GHG with VSL) scenario,External costs (Footprint & Low GHG with VOLY) scenario,External costs (Footprint & Low GHG with VSL) scenario,External costs (Footprint & Central GHG with VOLY) scenario,External costs (Footprint & Central GHG with VSL) scenario,External costs (Footprint & High GHG with VOLY) scenario,External costs (Footprint & High GHG with VSL) scenario,Heavy Metals Emissions,Air Pollutants Emissions
Belgium,2012,-0.02224770963186496,-0.025284884736355626,-0.06944434768675589,-0.04633842862070644,0.027148335575546693,0.006840603245011789,0.0,-0.027777777777777776,-0.05123297945249764,-0.1091523514502957,-0.0010728885146605463,0.011627906976744186,0.010801591813530414,-0.027014473644781396,-0.5,-0.5,-0.06666666666666667,-0.3,-0.02224770963186496,-0.02224770963186496,-0.02224770963186496,-0.025284884736355623,-0.025284884736355644,-0.02528488473635569,-0.046338428620706376,-0.04633842862070652,-0.04633842862070647,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,-0.05123297945249764,0.011627906976744186,0.011627906976744186,0.010801591813530414,0.010801591813530414,-0.1091523514502957,-0.1091523514502957,-0.1091523514502957,-0.1091523514502957,-0.1091523514502957,-0.027014473644781396,-0.027014473644781396,-0.027014473644781396,-0.027014473644781396,-0.027014473644781396,-0.027014473644781396,-0.027014473644781396,-0.0010728885146605463,-0.0010728885146605463,-0.0010728885146605463,-0.0010728885146605463,-0.0010728885146605463,-0.027777777777777776,-0.5,-0.5,0.0,-0.3,-0.06666666666666667,-0.023970464774130857,-0.02458669350923184,-0.030575184710749388,-0.021660542491219664,-0.08407927041294795,-0.037488577079394424,-0.02419157869490518,-0.024653080711428976,-0.14460622607606405,-0.030736247168697987,-0.027193741855913993,-0.02941326891468518,-0.026855475702429202,-0.025052413930448183,-0.02498670086401188,-0.031533346215625487,-0.027521922240951027,-0.03054451817616843,-0.027365714729449687,-0.027324493275376963,-0.026511343828486984,-0.039283382723332934,-0.03142301169358388,-0.040851771219267245,-0.0331403558634718,-0.04463332238214695,-0.04019592533552834,-0.1044776119402985,-0.03767048633566098
Bulgaria,2012,-0.08093913316634253,-0.07652686758911126,-0.28537201320986855,-0.054983455615361346,0.01869339125697028,-0.005727307847783635,-0.75,-0.4090909090909091,-0.1755135284196215,-0.5067276489497354,0.03308442797187551,-0.023632981371341736,-0.0853569844789357,-0.026317842307467285,-0.5,-0.5,-0.5,-0.45454545454545453,-0.08093913316634253,-0.08093913316634253,-0.08093913316634253,-0.07652686758911131,-0.0765268675891112,-0.0765268675891112,-0.054983455615361394,-0.05498345561536127,-0.054983455615361276,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.1755135284196215,-0.023632981371341736,-0.023632981371341736,-0.0853569844789357,-0.0853569844789357,-0.5067276489497354,-0.5067276489497354,-0.5067276489497354,-0.5067276489497354,-0.5067276489497354,-0.026317842307467285,-0.026317842307467285,-0.026317842307467285,-0.026317842307467285,-0.026317842307467285,-0.026317842307467285,-0.026317842307467285,0.03308442797187551,0.03308442797187551,0.03308442797187551,0.03308442797187551,0.03308442797187551,-0.4090909090909091,-0.5,-0.5,-0.75,-0.45454545454545453,-0.5,-0.3024296142516391,-0.28370151785885517,-0.1647610959570683,-0.16667520297808158,-0.4756256100933169,-0.05765066842430083,-0.30372655434309,-0.28418344966449016,-0.4651508002522931,-0.2784847322408267,-0.27674961147420646,-0.2603648740564486,-0.27006845538611146,-0.17463083384860656,-0.22203905246660077,-0.27265515399062223,-0.27469166489909413,-0.2523490229963008,-0.2668714586512958,-0.16301587936511053,-0.213102675271675,-0.27244575663368586,-0.27462976102193304,-0.2515299214655681,-0.2666991943954535,-0.15528661025027735,-0.2106337760400646,-0.49056603773584906,-0.3507614718598141
Cyprus,2012,-0.05887041166303988,-0.06873376780988197,0.5733091723072004,-0.03308158354911562,-0.01826458724651387,0.026507857686385607,0.0,0.0,-0.025929046148085742,-0.22706918965766287,-0.05548387096774193,-0.21805054151624548,-0.24459358687546606,-0.02610579115367077,0.0,0.0,-1.0,0.0,-0.05887041166303988,-0.05887041166303988,-0.05887041166303988,-0.06873376780988194,-0.06873376780988194,-0.06873376780988212,-0.033081583549115584,-0.033081583549115584,-0.03308158354911575,-0.025929046148085742,-0.025929046148085742,-0.025929046148085742,-0.025929046148085742,-0.025929046148085742,-0.025929046148085742,0.0,-0.025929046148085742,-0.025929046148085742,-0.21805054151624548,-0.21805054151624548,-0.24459358687546606,-0.24459358687546606,-0.22706918965766287,-0.22706918965766287,-0.22706918965766287,-0.22706918965766287,-0.22706918965766287,-0.02610579115367077,-0.02610579115367077,-0.02610579115367077,0.0,-0.02610579115367077,-0.02610579115367077,-0.02610579115367077,-0.05548387096774193,-0.05548387096774193,0.0,-0.05548387096774193,-0.05548387096774193,0.0,0.0,0.0,0.0,0.0,-1.0,-0.14877446425546773,-0.14193012505398825,-0.025938600647978496,-0.025929046148085742,-0.18290802826347205,0.0,-0.14791384297852866,-0.1416033430841787,-0.08721708105697402,-0.09985798260978278,-0.11030917908643682,-0.08934872776057232,-0.10028554517143111,-0.0674367766624026,-0.07293798548504082,-0.10366435338954856,-0.11274461908528975,-0.09448775356926173,-0.10386378178960481,-0.07584647626427167,-0.08039297717456026,-0.08303922777538975,-0.09778286520849139,-0.06965987722232339,-0.08435754082664976,-0.04304363742384046,-0.049783686620812735,-0.09090909090909091,-0.11117468205446758
Czechia,2012,-0.031636370054298556,-0.03199380374341361,-1.8412061668168143,-0.04020282328405933,-0.015827271065397504,0.0017845408640690793,-0.5,0.09090909090909091,-0.04864412329090736,-0.04361582730377057,0.007423613730667673,0.004804597701149426,-0.0007357848086103933,-0.023307591192901742,0.0,0.0,0.0,-0.14285714285714285,-0.031636370054298556,-0.031636370054298556,-0.031636370054298556,-0.0319938037434136,-0.0319938037434136,-0.03199380374341356,-0.04020282328405933,-0.04020282328405932,-0.04020282328405928,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,-0.04864412329090736,0.004804597701149426,0.004804597701149426,-0.0007357848086103933,-0.0007357848086103933,-0.04361582730377057,-0.04361582730377057,-0.04361582730377057,-0.04361582730377057,-0.04361582730377057,-0.023307591192901742,-0.023307591192901742,-0.023307591192901742,-0.023307591192901742,-0.023307591192901742,-0.023307591192901742,-0.023307591192901742,0.007423613730667673,0.007423613730667673,0.007423613730667673,0.007423613730667673,0.007423613730667673,0.09090909090909091,0.0,0.0,-0.5,-0.14285714285714285,0.0,-0.017376580408575194,-0.017725812699271516,-0.04245349269014816,-0.04243958008173572,-0.04496475036268392,-0.0252045026102828,-0.017836402766784918,-0.01786752976372784,0.05355267242653294,-0.01940438109964133,-0.018503571125221323,-0.02146966627483097,-0.019509675800433623,-0.027849055260635764,-0.024762904890813706,-0.019427873936040677,-0.01851061930729341,-0.021521929441879768,-0.01952485643418951,-0.02806068640378127,-0.02487045237477737,-0.02191520709427952,-0.019523714882933405,-0.024970844165971482,-0.021084998362740397,-0.03449132970239529,-0.029298338817384532,0.0,-0.02932425860537
Germany,2012,-0.003129132772123573,0.011925048812137904,-0.40063659454071954,-0.05087986586015553,0.019212492017998486,0.0013192754387461854,0.0,-0.04819277108433735,-0.003268435093300925,-0.047891524304355226,0.008454959946000332,-0.013777467736309732,-0.014387825483365037,-0.012915006040662015,0.0,-0.09090909090909091,0.013513513513513514,-0.02158273381294964,-0.003129132772123573,-0.003129132772123573,-0.003129132772123573,0.011925048812137918,0.01192504881213787,0.011925048812137825,-0.05087986586015542,-0.05087986586015555,-0.050879865860155506,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.003268435093300925,-0.013777467736309732,-0.013777467736309732,-0.014387825483365037,-0.014387825483365037,-0.047891524304355226,-0.047891524304355226,-0.047891524304355226,-0.047891524304355226,-0.047891524304355226,-0.012915006040662015,-0.012915006040662015,-0.012915006040662015,-0.012915006040662015,-0.012915006040662015,-0.012915006040662015,-0.012915006040662015,0.008454959946000332,0.008454959946000332,0.008454959946000332,0.008454959946000332,0.008454959946000332,-0.04819277108433735,-0.09090909090909091,0.0,0.0,-0.02158273381294964,0.013513513513513514,-0.011074765726940364,-0.010852552914576874,-0.007311942078923853,-0.007749779002388065,-0.027988754110948158,0.0024517929437830833,-0.01110710680286989,-0.010862735980210661,-0.03375388482961796,-0.00928304757977744,-0.010145799980173764,-0.008024466991779512,-0.009465322775235974,-0.004739280557327013,-0.006349572614536758,-0.0030202618142157376,-0.007472804304664921,0.00015018084779127165,-0.005480687764751006,0.008146586306346558,0.0033276391874949357,-0.02990710425180143,-0.019230672237294376,-0.03469877818393176,-0.02289565613506559,-0.045945513926103354,-0.03789563076466413,-0.02689486552567237,-0.00964584247998465
Denmark,2012,-0.08164425650940654,-0.06824948428612075,-0.16880006659537547,-0.08164765788674304,0.027021553583005342,0.0035765744444692217,0.0,-0.0625,-0.07421815017658802,-0.10173083716001413,-0.01907166582911493,-0.05520987133516136,-0.04036874334398296,-0.040782015563454704,0.0,0.0,0.0,0.0,-0.08164425650940654,-0.08164425650940654,-0.08164425650940654,-0.06824948428612085,-0.06824948428612063,-0.06824948428612074,-0.08164765788674312,-0.08164765788674293,-0.08164765788674302,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.07421815017658802,-0.05520987133516136,-0.05520987133516136,-0.04036874334398296,-0.04036874334398296,-0.10173083716001413,-0.10173083716001413,-0.10173083716001413,-0.10173083716001413,-0.10173083716001413,-0.040782015563454704,-0.040782015563454704,-0.040782015563454704,-0.040782015563454704,-0.040782015563454704,-0.040782015563454704,-0.040782015563454704,-0.01907166582911493,-0.01907166582911493,-0.01907166582911493,-0.01907166582911493,-0.01907166582911493,-0.0625,0.0,0.0,0.0,0.0,0.0,-0.05361841361568376,-0.05406974477167599,-0.0620675289128669,-0.06392181088701186,-0.08139819122900874,-0.04407185050990807,-0.053779971413836426,-0.05411819467981172,-0.04568800252800112,-0.06636605636228884,-0.06045849259532485,-0.07005338994258294,-0.06342350202019788,-0.07824289557210476,-0.07404022606788921,-0.06194141262498541,-0.058710568331485045,-0.06374686511392497,-0.06050720176939068,-0.06708158542244953,-0.06556025155421184,-0.07098582594572525,-0.06430240528232847,-0.07415760699759846,-0.06781715438310917,-0.07975995388729797,-0.07707032753600972,-0.043478260869565216,-0.05044030697232672
Estonia,2012,0.033020477923164024,-0.03986122694625953,-1.2797459372458075,-0.0702963982646801,0.07431658601812052,-0.0033414557104823788,-0.6666666666666666,-0.45454545454545453,-0.07326722880245295,-0.4121328242380801,0.013092210605632476,-0.5222902097902098,-0.5141705069124424,0.016168220170517295,0.0,0.0,-0.2,-0.25,0.033020477923164024,0.033020477923164024,0.033020477923164024,-0.03986122694625957,-0.03986122694625948,-0.03986122694625954,-0.07029639826468013,-0.07029639826468004,-0.0702963982646801,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.07326722880245295,-0.5222902097902098,-0.5222902097902098,-0.5141705069124424,-0.5141705069124424,-0.4121328242380801,-0.4121328242380801,-0.4121328242380801,-0.4121328242380801,-0.4121328242380801,0.016168220170517295,0.016168220170517295,0.016168220170517295,0.016168220170517295,0.016168220170517295,0.016168220170517295,0.016168220170517295,0.013092210605632476,0.013092210605632476,0.013092210605632476,0.013092210605632476,0.013092210605632476,-0.45454545454545453,0.0,0.0,-0.6666666666666666,-0.25,-0.2,-0.3914122754459315,-0.3888475985044142,-0.06065352643334677,-0.06563556654591511,-0.3596883827443382,-0.004159292559961701,-0.3667283583885151,-0.3810648428401396,-0.31745141403202287,-0.1736808977187047,-0.2546392143476892,-0.125972793696943,-0.20940641439872723,-0.015121756083235117,-0.0613568850308554,-0.17862977135798774,-0.24894059226539203,-0.1417957652300195,-0.20849321107738655,-0.06780359037826257,-0.09741596977376372,-0.19344663731645523,-0.25818953444911474,-0.16048609022568405,-0.22137409064644492,-0.09487072653270685,-0.1214274202556059,-0.375,-0.2973631573069074
Greece,2012,-0.029283757604619175,-0.030316696884445497,0.3898583282904061,-0.07476998061860268,-0.07342350185580318,-0.0033250648722979465,0.5,-0.13513513513513514,-0.1241691740969417,-0.10601047697821891,-0.029437722419928827,0.03263911139592011,-0.027145484666257942,-0.04041590214067278,0.0,0.0,0.0,0.05357142857142857,-0.029283757604619175,-0.029283757604619175,-0.029283757604619175,-0.03031669688444546,-0.030316696884445552,-0.03031669688444555,-0.07476998061860265,-0.07476998061860275,-0.07476998061860274,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,-0.1241691740969417,0.03263911139592011,0.03263911139592011,-0.027145484666257942,-0.027145484666257942,-0.10601047697821891,-0.10601047697821891,-0.10601047697821891,-0.10601047697821891,-0.10601047697821891,-0.04041590214067278,-0.04041590214067278,-0.04041590214067278,-0.04041590214067278,-0.04041590214067278,-0.04041590214067278,-0.04041590214067278,-0.029437722419928827,-0.029437722419928827,-0.029437722419928827,-0.029437722419928827,-0.029437722419928827,-0.13513513513513514,0.0,0.0,0.5,0.05357142857142857,0.0,-0.05494932885952438,-0.05521431224898142,-0.10860718542443357,-0.11113137190562065,-0.11565675776494869,-0.07279135773702074,-0.05580235760413189,-0.055463234446554474,-0.07442961801646755,-0.047712154515447386,-0.05190166235158682,-0.04397130315444364,-0.04957825649194568,-0.03413897542583722,-0.039306741846760425,-0.04733341123814187,-0.051643372624007776,-0.043688260352265515,-0.049264664327389435,-0.03457922899245089,-0.039285249080458266,-0.06513367865532993,-0.059743580103340195,-0.06710118762980564,-0.0613007682546872,-0.07224478155052974,-0.0681474088912898,-0.008928571428571428,-0.07726655501742634
Spain,2012,-0.014811619406122044,-0.019071198570492318,-0.542067582354064,-0.0677397265144474,-0.03070138743310305,0.003236643384491206,0.0,-0.0784313725490196,-0.05787508522356894,0.01158565578715039,-0.0073398924495661775,-0.12191560811797343,-0.09967235043772867,-0.04154684425609202,0.0,0.25,0.04,-0.17721518987341772,-0.014811619406122044,-0.014811619406122044,-0.014811619406122044,-0.019071198570492397,-0.0190711985704922,-0.019071198570492207,-0.06773972651444747,-0.06773972651444729,-0.0677397265144473,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.05787508522356894,-0.12191560811797343,-0.12191560811797343,-0.09967235043772867,-0.09967235043772867,0.01158565578715039,0.01158565578715039,0.01158565578715039,0.01158565578715039,0.01158565578715039,-0.04154684425609202,-0.04154684425609202,-0.04154684425609202,-0.04154684425609202,-0.04154684425609202,-0.04154684425609202,-0.04154684425609202,-0.0073398924495661775,-0.0073398924495661775,-0.0073398924495661775,-0.0073398924495661775,-0.0073398924495661775,-0.0784313725490196,0.25,0.0,0.0,-0.17721518987341772,0.04,-0.06957612625305087,-0.06915023227847444,-0.05630911547533705,-0.05617136274818994,-0.02830434246907088,-0.027495012765041647,-0.06918900812246637,-0.06903203173206651,-0.047980287057557316,-0.05188081632353775,-0.06185032898502493,-0.04588527059003168,-0.05835291172840265,-0.02670109780266544,-0.03981022731596367,-0.05155862946787463,-0.06151775498444967,-0.045818962678870506,-0.05794952497752795,-0.02875354870331131,-0.04021636307627387,-0.06724041796098591,-0.06821124792106464,-0.06733346691679894,-0.06816846539085138,-0.06759763394238272,-0.06796476630028056,-0.08928571428571429,-0.04635983502511851
Finland,2012,-0.17167967681261562,-0.08038242975565178,0.18118105311042862,-0.03747822791215137,0.015348639885251366,0.004835286597376582,0.0,-0.15789473684210525,-0.057707882976057986,-0.17051663151601706,-0.0037754036468792673,-0.0135888161110568,-0.037614472723186694,-0.03256427033844461,0.0,0.0,0.11764705882352941,-0.05,-0.17167967681261562,-0.17167967681261562,-0.17167967681261562,-0.08038242975565187,-0.08038242975565181,-0.08038242975565184,-0.03747822791215145,-0.037478227912151316,-0.03747822791215134,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.057707882976057986,-0.0135888161110568,-0.0135888161110568,-0.037614472723186694,-0.037614472723186694,-0.17051663151601706,-0.17051663151601706,-0.17051663151601706,-0.17051663151601706,-0.17051663151601706,-0.03256427033844461,-0.03256427033844461,-0.03256427033844461,-0.03256427033844461,-0.03256427033844461,-0.03256427033844461,-0.03256427033844461,-0.0037754036468792673,-0.0037754036468792673,-0.0037754036468792673,-0.0037754036468792673,-0.0037754036468792673,-0.15789473684210525,0.0,0.0,0.0,-0.05,0.11764705882352941,-0.05727423138029149,-0.05731964371148798,-0.05399399995925269,-0.05548423961113677,-0.12135352827416056,-0.03870516112841781,-0.0574426875431841,-0.05737053523405959,-0.10072968073986849,-0.11806361697694398,-0.09020664778195038,-0.13086347138194057,-0.10202894781274277,-0.1596097083713776,-0.14322309739295314,-0.07639914864288985,-0.06895211322451984,-0.0775362788354166,-0.07118986331552506,-0.07964277795917651,-0.07726954623316905,-0.04929692797706236,-0.05222898549569641,-0.0457567149461487,-0.04907722794891651,-0.03955392027527541,-0.04118209990937688,-0.03278688524590164,-0.05889072570908483
