Transfer emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland
1990,-27.237,-34.6704,15.3124,1.9746,-2.147,12.8958,-8.5506,5.558,-23.7818,-99.6492,-140.1852,-13.0419,-18.4264,,-6.6025,-128.3035,-1.9014,-7.4834,0,-0.96814,-39.4324,,54.0844,-6.6554,13.2371,-11.6408,-1.3775,-34.4135,-28.1121,-41.7243
1991,-25.3214,-32.3267,16.7549,1.3361,-1.7627,18.2983,-1.6532,3.8772,-19.3662,-86.5523,-127.4512,-12.0041,-13.9596,,-7.5997,-122.9096,-1.9346,-8.044,0,-0.97824,-38.7251,,36.5682,-7.1246,12.2283,-4.0254,-1.6271,-30.3982,-26.9703,-42.0477
1992,-32.8615,-49.9246,15.1209,-1.824,-2.8181,-2.5479,-11.0695,0.40368,-49.3957,-138.2205,-237.9634,-19.6647,-32.8963,,-9.4978,-172.9867,-4.2021,-31.3222,0,-1.1782,-67.1477,,17.0005,-9.1393,11.6766,-7.1612,-5.8596,-43.7605,-36.1134,-49.6006
1993,-28.3972,-41.3365,12.9055,-1.3972,-1.8227,7.7281,-6.4846,1.4994,-28.8235,-116.1091,-201.0553,-15.1446,-23.7187,,-6.8295,-127.7785,-2.7107,-16.0928,0,-0.84711,-48.5211,,28.0521,-9.0287,10.7437,-5.2881,-4.0707,-31.9613,-29.5382,-43.6296
1994,-27.815,-37.8762,14.7742,-1.7893,-1.5817,7.2197,-4.1389,3.4135,-16.6002,-110.7784,-191.7956,-12.9085,-17.8296,,-6.3275,-117.3856,-3.3782,-12.9265,0,-1.0199,-44.1188,,36.158,-9.1727,16.5556,-1.0933,-2.7905,-23.3157,-26.3179,-43.9173
1995,-28.9655,-40.6763,11.3488,-2.8815,-1.9498,8.0147,-6.4988,2.3876,-17.1565,-115.6143,-200.1211,-13.6242,-14.7416,,-6.319,-113.8754,-3.5594,-12.935,0,-1.2746,-46.0096,,41.239,-9.0967,20.2016,-2.3958,-3.4772,-21.5778,-25.9144,-47.0935
1996,-33.6252,-36.0885,9.5961,-2.4495,-2.8265,12.5977,1.8605,2.2875,-10.7411,-101.7046,-164.2493,-9.8391,-7.3115,,-12.5429,-87.4683,-5.0445,-6.9965,0,-1.3226,-34.5878,,48.1266,-9.0168,27.5687,-4.2357,-2.2653,-18.6474,-27.4805,-64.1188
1997,-27.831,-46.6231,9.2164,-2.3925,-1.9102,12.2016,-1.977,2.7266,-10.8033,-94.5257,-146.7714,-6.3442,-8.2059,,-10.3221,-86.2683,-4.9751,-6.5245,0,-1.0717,-36.0475,,45.0427,-16.1633,27.8414,-3.1471,-2.3088,-11.8661,-27.8142,-53.2908
1998,-31.5434,-50.4447,7.2129,-1.464,-3.323,11.228,-4.4122,-0.10756,-12.1742,-95.9324,-157.0275,-8.7787,-9.8868,,-8.3542,-83.7471,-5.1355,-6.2198,0,-2.2379,-40.2269,,42.3389,-21.7724,16.6639,-4.6674,-2.9754,-17.1754,-28.9754,-72.2778
1999,-31.182,-63.1914,4.7692,-1.9593,-1.535,6.3386,-10.7832,-3.8461,-15.3132,-100.8193,-194.2443,-5.5405,-10.2436,,-12.8589,-94.8698,-4.6098,-6.4167,-0.53523,-1.6241,23.8608,,20.1732,-31.1104,9.5478,-2.2539,-2.7146,-17.4814,-26.222,-61.9833
2000,-25.902,-63.7015,2.9996,-1.9937,-0.59913,6.7396,-11.3169,-4.8381,-22.0598,-112.7233,-184.7141,-1.5707,-14.7417,,-9.1509,-103.2353,-7.6127,-8.3551,0.32891,-2.1389,41.929,,17.4472,-45.3048,3.2664,-5.1105,-4.0314,-25.184,-30.928,-45.8241
2001,-26.4203,-63.2831,3.5271,-3.7106,-0.89121,5.1323,-10.4567,-3.0633,-18.7342,-107.7751,-164.9403,-1.0451,-16.688,,-9.0538,-91.7455,-6.2187,-7.5214,0.59855,-2.0821,49.7874,,18.0762,-48.2272,2.6788,-5.1391,-3.8284,-23.9316,-24.1862,-62.1853
2002,-23.1728,-67.1048,2.8686,-4.3183,-1.1893,-0.93299,-10.9106,-4.4509,-16.5222,-104.752,-128.1686,-4.451,-16.0339,,-11.9188,-97.8391,-6.0464,-6.6908,0.16217,-2.3172,44.7175,,21.2857,-44.4551,3.3167,-3.7869,-2.9502,-26.9074,-25.2612,-54.14
2003,-23.58,-78.4443,4.1807,-2.1033,-1.016,6.6618,-6.962,-3.4388,-16.785,-109.1372,-167.407,11.7538,-19.6219,,-26.4231,-95.6882,-6.8704,-9.97,-1.0766,-1.4997,-2.8635,1.6404,34.2388,-47.6403,6.2621,-1.6146,-2.6583,-22.3181,-30.6066,-50.7038
2004,-27.0171,-89.8894,3.7715,-3.0284,-1.4875,12.8333,-15.191,-3.4947,-16.39,-128.792,-165.0911,15.5856,-19.4277,,-20.4848,-107.212,-6.2122,-8.3335,-1.3011,-1.4549,-8.7613,-0.70707,33.0722,-43.4949,4.5514,-3.2956,-2.453,-32.5698,-30.8944,-54.0255
2005,-27.6749,-100.607,2.0774,-2.5501,-1.7062,15.359,-15.3076,-2.2555,-23.7112,-135.5054,-183.7443,20.2715,-17.9244,,-24.4567,-116.3155,-5.6036,-7.5914,-2.3381,-0.6398,-38.3765,-0.85683,33.3225,-59.0002,1.085,-0.019569,-2.0558,-42.8975,-37.4373,-62.6927
2006,-33.249,-102.0374,0.93482,-4.7735,-1.7156,11.2009,-13.0872,-4.7529,-21.3336,-144.1204,-165.2341,16.408,-19.1334,,-24.4937,-143.5171,-6.9028,-8.9798,-2.9771,-1.189,-57.8909,-5.8916,19.3225,-49.8446,-1.2321,-2.5708,-3.7548,-56.6531,-38.7986,-72.1339
