countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Belgium,1990,,9947782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1991,,9986975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1992,,10021997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1993,,10068319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1994,,10100631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1995,220251500000.0,10130574.0,161395369487.0,67013702196.0,155040939587.0,60659272296.0,91647936537.0,-2733730754.0,,,,,,,,,,,,,15931512813.291725,6614995576.361221,15304260112.704374,5987742875.77387,9046667694.94009,-269849541.9904144,,,,,,,,,,,,,21741.26559857319
Belgium,1996,219965300000.0,10143047.0,161653158269.0,69632729358.0,155153749829.0,63133320918.0,90314413249.0,-1706015662.0,,,,,,,,,,,,,15937337002.283436,6865070166.588009,15296562248.898186,6224295413.202759,8904071256.792953,-168195578.90247378,,,,,,,,,,,,,21686.31378716869
Belgium,1997,223032700000.0,10170226.0,166242333155.0,77927760994.0,160077079655.0,71762507494.0,98571336405.0,10256764244.0,,,,,,,,,,,,,16345982198.920652,7662343097.783668,15739776053.649153,7056136952.512166,9692148080.58346,1008508979.4464744,,,,,,,,,,,,,21929.964978162727
Belgium,1998,231015700000.0,10192264.0,177662985659.0,91336713543.0,171303018899.0,84976746783.0,107854779079.0,21528506963.0,,,,,,,,,,,,,17431160109.17692,8961376348.081251,16807160695.503963,8337376934.408293,10582023687.671356,2112239926.5756853,,,,,,,,,,,,,22665.788484285727
Belgium,1999,242307600000.0,10213752.0,191899538976.0,112404761217.0,185783284776.0,106288507017.0,124766367876.0,45271590117.0,,,,,,,,,,,,,18788349176.28703,11005236980.200811,18189523769.13009,10406411573.043873,12215527445.350151,4432415249.263933,,,,,,,,,,,,,23723.66198043579
